Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27
0,0.0718994140625,0.01534271240234375,0.0670166015625,0.0428466796875,0.054595947265625,0.00882720947265625,0.0282135009765625,0.034759521484375,0.019775390625,0.027435302734375,0.042022705078125,0.0231781005859375,0.02484130859375,0.02972412109375,0.08642578125,0.00010311603546142578,0.026641845703125,0.09429931640625,0.052825927734375,0.089599609375,0.0169677734375,0.0259552001953125,0.0306549072265625,0.027008056640625,0.019927978515625,0.0216522216796875,0.0219573974609375,0.0182952880859375
1,0.044281005859375,0.049957275390625,0.046051025390625,0.049896240234375,0.02630615234375,0.032623291015625,0.0550537109375,0.057220458984375,0.028961181640625,0.035308837890625,0.05242919921875,0.04095458984375,0.07037353515625,0.0279083251953125,0.046356201171875,0.056793212890625,0.06622314453125,0.054229736328125,0.03204345703125,0.0640869140625,0.0465087890625,0.065673828125,0.044769287109375,0.129150390625,0.06402587890625,0.06103515625,0.04644775390625,0.05712890625
2,0.038299560546875,0.0535888671875,0.051910400390625,0.04522705078125,0.02520751953125,0.04876708984375,0.07220458984375,0.07025146484375,0.0682373046875,0.054534912109375,0.048370361328125,0.048431396484375,0.051971435546875,0.06695556640625,0.09375,0.06549072265625,0.12054443359375,0.0771484375,0.053863525390625,0.075927734375,0.0787353515625,0.08197021484375,0.2305908203125,0.0787353515625,0.09954833984375,0.10443115234375,0.0677490234375,0.09210205078125
3,0.0577392578125,0.05615234375,0.0556640625,0.07562255859375,0.043975830078125,0.058441162109375,0.0572509765625,0.095703125,0.06341552734375,0.0872802734375,0.11920166015625,0.11846923828125,0.076416015625,0.08111572265625,0.09881591796875,0.106689453125,0.08294677734375,0.0843505859375,0.0723876953125,0.079833984375,0.0936279296875,0.0853271484375,0.10302734375,0.08868408203125,0.10394287109375,0.0853271484375,0.0882568359375,0.09228515625
4,0.07025146484375,0.06475830078125,0.1693115234375,0.065185546875,0.1602783203125,0.08404541015625,0.12158203125,0.00131988525390625,0.021942138671875,0.176513671875,0.00421905517578125,0.1614990234375,0.12322998046875,0.001201629638671875,0.0142669677734375,0.162109375,0.1220703125,0.090087890625,0.07733154296875,0.11138916015625,0.1741943359375,0.059539794921875,0.020172119140625,0.05255126953125,0.05731201171875,0.0946044921875,0.052764892578125,0.0126800537109375
5,0.32568359375,0.120849609375,0.049163818359375,0.05877685546875,0.1097412109375,0.1732177734375,0.08782958984375,0.18212890625,0.1619873046875,0.130126953125,0.318359375,0.0692138671875,0.046722412109375,0.1961669921875,0.0506591796875,0.043212890625,0.06689453125,0.078369140625,0.1829833984375,0.0267486572265625,0.1060791015625,0.398681640625,0.191162109375,0.177490234375,0.12213134765625,0.07757568359375,0.61083984375,0.203125
6,0.09429931640625,0.0635986328125,0.17919921875,0.07598876953125,0.02227783203125,0.072998046875,0.06256103515625,0.1932373046875,0.029327392578125,0.2421875,0.2445068359375,0.1273193359375,0.05706787109375,0.153564453125,0.1724853515625,0.1402587890625,0.1685791015625,0.13916015625,0.2216796875,0.0986328125,0.11474609375,0.03045654296875,0.11297607421875,0.251953125,0.156494140625,0.07830810546875,0.12286376953125,0.0650634765625
7,0.3388671875,0.401611328125,0.302490234375,0.20751953125,0.10919189453125,0.137939453125,0.160888671875,0.1455078125,0.1046142578125,0.317626953125,0.22900390625,0.12396240234375,0.082763671875,0.1727294921875,0.314453125,0.1319580078125,0.243408203125,0.172119140625,0.333740234375,0.1688232421875,0.332763671875,0.1175537109375,0.170654296875,0.1326904296875,0.1094970703125,0.1031494140625,0.09637451171875,0.2125244140625
8,0.28076171875,0.05029296875,0.1280517578125,0.1461181640625,0.1644287109375,0.277099609375,0.281494140625,0.1815185546875,0.398681640625,0.240234375,0.197021484375,0.20654296875,0.298583984375,0.2442626953125,0.0251617431640625,0.039581298828125,0.0129241943359375,0.2098388671875,0.1300048828125,0.0216522216796875,0.10736083984375,0.3408203125,0.260498046875,0.00885772705078125,0.164306640625,0.425048828125,0.276611328125,0.233154296875
9,0.350830078125,0.30810546875,0.274658203125,0.341552734375,0.2354736328125,0.489990234375,0.07745361328125,0.37109375,0.193359375,0.2490234375,0.2413330078125,0.205810546875,0.32421875,0.36474609375,0.22802734375,0.263916015625,0.61474609375,0.2294921875,0.2137451171875,0.288818359375,0.376953125,0.1693115234375,0.20849609375,0.25634765625,0.19482421875,0.1849365234375,0.08056640625,0.460693359375
