Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27
0,0.192626953125,0.3037109375,0.1363525390625,0.2132568359375,0.2135009765625,0.400634765625,0.40478515625,0.466552734375,0.252197265625,0.28515625,0.151123046875,0.1912841796875,0.0985107421875,0.2296142578125,0.669921875,0.8701171875,0.63623046875,0.6513671875,0.859375,0.7001953125,0.56298828125,0.1529541015625,0.1304931640625,0.233154296875,0.20361328125,0.151123046875,0.203857421875,0.171142578125
1,0.331298828125,0.2239990234375,0.2193603515625,0.41455078125,0.2191162109375,0.26220703125,0.213134765625,0.1043701171875,0.076171875,0.12841796875,0.16455078125,0.1640625,0.392333984375,0.05682373046875,0.06024169921875,0.424072265625,0.3037109375,0.24169921875,0.07208251953125,0.54052734375,0.21240234375,0.19873046875,0.1859130859375,0.201416015625,0.302734375,0.368896484375,0.158935546875,0.318115234375
2,0.253173828125,0.13330078125,0.11541748046875,0.23291015625,0.23583984375,0.1585693359375,0.2108154296875,0.1622314453125,0.188720703125,0.2261962890625,0.1439208984375,0.1898193359375,0.2041015625,0.257568359375,0.44287109375,0.1988525390625,0.69873046875,0.31201171875,0.201904296875,0.19677734375,0.391357421875,0.1619873046875,0.6630859375,0.410888671875,0.302978515625,0.3994140625,0.316162109375,0.56396484375
3,0.217041015625,0.27685546875,0.25146484375,0.1923828125,0.15185546875,0.1484375,0.1883544921875,0.447998046875,0.2462158203125,0.318115234375,0.85107421875,0.2496337890625,0.29296875,0.2626953125,0.224365234375,0.64599609375,0.375244140625,0.35009765625,0.176025390625,0.2376708984375,0.40625,0.298583984375,0.360107421875,0.3486328125,0.2354736328125,0.470947265625,0.25244140625,0.488525390625
4,0.23486328125,0.2266845703125,0.81103515625,0.2222900390625,0.701171875,0.288330078125,0.619140625,0.176025390625,0.134765625,0.485595703125,0.154052734375,0.1754150390625,0.55810546875,0.17431640625,0.1197509765625,0.356689453125,0.396728515625,0.3466796875,0.3046875,0.5849609375,1.0927734375,0.331787109375,0.1468505859375,0.34423828125,0.1507568359375,0.64990234375,0.11212158203125,0.1724853515625
5,0.52783203125,0.67529296875,0.41064453125,0.378173828125,0.493408203125,0.92919921875,0.62548828125,1.0712890625,1.65625,0.611328125,1.1337890625,0.311279296875,0.18701171875,1.021484375,0.20068359375,0.1640625,0.2333984375,0.367431640625,0.54736328125,0.10186767578125,0.38232421875,1.3056640625,1.0498046875,0.87890625,0.223388671875,0.264404296875,0.52392578125,1.6591796875
6,0.5283203125,0.2998046875,0.8486328125,0.396240234375,0.27587890625,0.1915283203125,0.353515625,0.75244140625,0.42578125,1.0625,1.3798828125,0.386962890625,0.332275390625,0.81005859375,0.41259765625,0.56640625,0.73095703125,0.322998046875,0.436767578125,0.2122802734375,0.399169921875,0.1822509765625,0.60986328125,1.091796875,0.57470703125,0.25927734375,0.72265625,0.31982421875
7,0.7138671875,0.6396484375,1.560546875,0.51513671875,0.546875,0.650390625,0.3984375,0.55712890625,0.30029296875,0.900390625,0.67822265625,0.251953125,0.2454833984375,0.8076171875,0.77197265625,0.33544921875,0.73388671875,0.42333984375,0.53173828125,0.5419921875,1.505859375,0.236083984375,0.79052734375,0.304931640625,0.36083984375,0.224365234375,0.254150390625,0.9580078125
8,1.0869140625,0.7763671875,0.68798828125,0.7060546875,0.74658203125,0.734375,1.173828125,0.62548828125,1.1640625,0.99609375,0.8681640625,0.96728515625,1.2470703125,1.3095703125,0.196044921875,0.1732177734375,0.2047119140625,0.40771484375,0.5126953125,0.1932373046875,0.403564453125,0.4306640625,0.93212890625,0.2861328125,0.432373046875,1.169921875,0.97998046875,0.97265625
9,3.474609375,1.865234375,1.5693359375,1.1611328125,1.654296875,1.5947265625,0.58544921875,1.3330078125,0.4248046875,0.90185546875,0.94287109375,0.400390625,1.2509765625,1.4326171875,0.63427734375,1.3515625,2.15234375,0.73583984375,1.1865234375,1.1982421875,1.224609375,0.826171875,1.4453125,1.1552734375,0.9453125,1.1015625,0.39208984375,1.5576171875
