Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27
0,0.1016845703125,0.0298614501953125,0.0919189453125,0.06494140625,0.1033935546875,0.01499176025390625,0.037445068359375,0.040374755859375,0.0291748046875,0.04437255859375,0.04986572265625,0.036102294921875,0.0384521484375,0.039215087890625,0.1016845703125,0.00011396408081054688,0.043701171875,0.12109375,0.076416015625,0.133544921875,0.027801513671875,0.04290771484375,0.0443115234375,0.036163330078125,0.030975341796875,0.034149169921875,0.031982421875,0.029052734375
1,0.06488037109375,0.06353759765625,0.07574462890625,0.06732177734375,0.05047607421875,0.06890869140625,0.06976318359375,0.06463623046875,0.04449462890625,0.047760009765625,0.0660400390625,0.05120849609375,0.0943603515625,0.04339599609375,0.05828857421875,0.0748291015625,0.0894775390625,0.0755615234375,0.05194091796875,0.0853271484375,0.06732177734375,0.07293701171875,0.059722900390625,0.1324462890625,0.09686279296875,0.0946044921875,0.07806396484375,0.0911865234375
2,0.05596923828125,0.06298828125,0.0653076171875,0.05712890625,0.03369140625,0.0643310546875,0.0828857421875,0.07574462890625,0.0792236328125,0.074462890625,0.06585693359375,0.061431884765625,0.0806884765625,0.1209716796875,0.1407470703125,0.0970458984375,0.1668701171875,0.11639404296875,0.0860595703125,0.1058349609375,0.1202392578125,0.09991455078125,0.241455078125,0.11737060546875,0.131103515625,0.1353759765625,0.07177734375,0.1236572265625
3,0.07598876953125,0.0745849609375,0.07464599609375,0.0841064453125,0.057037353515625,0.068115234375,0.07391357421875,0.1324462890625,0.0794677734375,0.1143798828125,0.1522216796875,0.138427734375,0.10955810546875,0.11981201171875,0.1275634765625,0.1270751953125,0.1259765625,0.11639404296875,0.08880615234375,0.10223388671875,0.1300048828125,0.1063232421875,0.1240234375,0.10858154296875,0.1151123046875,0.11767578125,0.11651611328125,0.11199951171875
4,0.0809326171875,0.07501220703125,0.19189453125,0.091796875,0.2086181640625,0.128173828125,0.154052734375,0.001300811767578125,0.0272674560546875,0.182373046875,0.004909515380859375,0.2125244140625,0.1593017578125,0.002201080322265625,0.0184173583984375,0.208251953125,0.17724609375,0.11981201171875,0.08135986328125,0.1435546875,0.2232666015625,0.07806396484375,0.02587890625,0.06719970703125,0.06365966796875,0.1181640625,0.05877685546875,0.0142059326171875
5,0.311279296875,0.1673583984375,0.06268310546875,0.0677490234375,0.17578125,0.2330322265625,0.11798095703125,0.259033203125,0.212890625,0.163330078125,0.3583984375,0.0784912109375,0.06903076171875,0.27197265625,0.0633544921875,0.056243896484375,0.0777587890625,0.0885009765625,0.194580078125,0.03411865234375,0.11248779296875,0.388427734375,0.240234375,0.2357177734375,0.1279296875,0.096435546875,0.77099609375,0.26708984375
6,0.11328125,0.0767822265625,0.212158203125,0.087646484375,0.028778076171875,0.0726318359375,0.07403564453125,0.255126953125,0.03314208984375,0.29736328125,0.2744140625,0.165771484375,0.08197021484375,0.1771240234375,0.233642578125,0.1993408203125,0.2197265625,0.1904296875,0.2841796875,0.13818359375,0.17333984375,0.035736083984375,0.132568359375,0.2978515625,0.210693359375,0.08245849609375,0.147216796875,0.0787353515625
7,0.37548828125,0.4765625,0.38427734375,0.2353515625,0.1585693359375,0.167724609375,0.1993408203125,0.169921875,0.1163330078125,0.323974609375,0.314697265625,0.130126953125,0.08892822265625,0.191162109375,0.35302734375,0.1466064453125,0.28759765625,0.240234375,0.38623046875,0.222900390625,0.423095703125,0.1295166015625,0.1798095703125,0.1361083984375,0.126708984375,0.1173095703125,0.1102294921875,0.26513671875
8,0.38134765625,0.06591796875,0.156982421875,0.1976318359375,0.18798828125,0.28271484375,0.335205078125,0.2379150390625,0.365234375,0.240234375,0.2213134765625,0.260986328125,0.3349609375,0.29052734375,0.0287628173828125,0.05010986328125,0.01507568359375,0.2213134765625,0.1593017578125,0.022674560546875,0.1300048828125,0.354736328125,0.28369140625,0.01125335693359375,0.207275390625,0.49853515625,0.301513671875,0.2763671875
9,0.49267578125,0.39306640625,0.34130859375,0.40380859375,0.29345703125,0.55908203125,0.08551025390625,0.55615234375,0.2086181640625,0.29443359375,0.25439453125,0.230224609375,0.376708984375,0.4140625,0.31298828125,0.33642578125,0.748046875,0.319091796875,0.274169921875,0.368896484375,0.46630859375,0.2232666015625,0.2486572265625,0.32568359375,0.25146484375,0.259521484375,0.12335205078125,0.52197265625
