Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27
0,0.0982666015625,0.023406982421875,0.09307861328125,0.062744140625,0.08642578125,0.0136260986328125,0.036529541015625,0.0452880859375,0.03338623046875,0.054779052734375,0.05291748046875,0.037506103515625,0.04046630859375,0.061126708984375,0.12060546875,0.0001246929168701172,0.0321044921875,0.1260986328125,0.09307861328125,0.132568359375,0.0255126953125,0.04205322265625,0.0489501953125,0.046417236328125,0.040130615234375,0.0421142578125,0.03790283203125,0.03631591796875
1,0.06658935546875,0.0760498046875,0.0909423828125,0.07373046875,0.041534423828125,0.056793212890625,0.07861328125,0.07147216796875,0.044586181640625,0.05072021484375,0.06793212890625,0.058502197265625,0.0924072265625,0.04376220703125,0.05877685546875,0.07366943359375,0.086669921875,0.07373046875,0.048431396484375,0.08343505859375,0.0631103515625,0.071044921875,0.06396484375,0.131591796875,0.0980224609375,0.0970458984375,0.0633544921875,0.08905029296875
2,0.05206298828125,0.062347412109375,0.065185546875,0.057708740234375,0.035675048828125,0.06097412109375,0.09332275390625,0.076416015625,0.0814208984375,0.0775146484375,0.06365966796875,0.06158447265625,0.07281494140625,0.11346435546875,0.12646484375,0.095947265625,0.176513671875,0.1044921875,0.08416748046875,0.11590576171875,0.09991455078125,0.10430908203125,0.31884765625,0.1204833984375,0.12371826171875,0.1353759765625,0.0819091796875,0.1334228515625
3,0.07305908203125,0.07958984375,0.086669921875,0.09051513671875,0.055084228515625,0.0687255859375,0.0753173828125,0.151611328125,0.08367919921875,0.1390380859375,0.16748046875,0.1551513671875,0.11944580078125,0.131591796875,0.1312255859375,0.12420654296875,0.1180419921875,0.1182861328125,0.0821533203125,0.1181640625,0.1458740234375,0.11102294921875,0.12451171875,0.12127685546875,0.12353515625,0.1207275390625,0.11651611328125,0.131591796875
4,0.09014892578125,0.077392578125,0.207275390625,0.0989990234375,0.20703125,0.1263427734375,0.1639404296875,0.0012226104736328125,0.05316162109375,0.1854248046875,0.005146026611328125,0.225830078125,0.2249755859375,0.0017833709716796875,0.01953125,0.185302734375,0.189697265625,0.11688232421875,0.09735107421875,0.168701171875,0.26611328125,0.09075927734375,0.0240631103515625,0.0794677734375,0.061920166015625,0.1595458984375,0.0654296875,0.01560211181640625
5,0.300048828125,0.1702880859375,0.07305908203125,0.0718994140625,0.191650390625,0.234130859375,0.1400146484375,0.239501953125,0.19482421875,0.150390625,0.368896484375,0.08001708984375,0.06915283203125,0.28076171875,0.06317138671875,0.0745849609375,0.08184814453125,0.1025390625,0.199462890625,0.03277587890625,0.10986328125,0.35302734375,0.2398681640625,0.235107421875,0.12158203125,0.0999755859375,0.60009765625,0.2890625
6,0.126220703125,0.0738525390625,0.216552734375,0.0872802734375,0.026031494140625,0.08245849609375,0.0791015625,0.217529296875,0.03472900390625,0.26513671875,0.27490234375,0.1649169921875,0.1051025390625,0.1729736328125,0.2445068359375,0.211181640625,0.2249755859375,0.198974609375,0.364501953125,0.152099609375,0.16796875,0.037017822265625,0.141357421875,0.265869140625,0.192138671875,0.08135986328125,0.144287109375,0.07073974609375
7,0.354248046875,0.40673828125,0.40673828125,0.256103515625,0.1649169921875,0.1856689453125,0.2093505859375,0.18408203125,0.138916015625,0.31396484375,0.244384765625,0.174072265625,0.0958251953125,0.2177734375,0.311767578125,0.155029296875,0.28271484375,0.2080078125,0.38916015625,0.197021484375,0.41943359375,0.1241455078125,0.1942138671875,0.15576171875,0.134765625,0.1002197265625,0.1016845703125,0.272705078125
8,0.3828125,0.0670166015625,0.166259765625,0.1834716796875,0.190185546875,0.263671875,0.33740234375,0.213134765625,0.3408203125,0.223388671875,0.174560546875,0.261474609375,0.304931640625,0.32470703125,0.028289794921875,0.05120849609375,0.016571044921875,0.2103271484375,0.1614990234375,0.021453857421875,0.12548828125,0.30126953125,0.255859375,0.01444244384765625,0.226318359375,0.48583984375,0.283447265625,0.26708984375
9,0.53076171875,0.430908203125,0.41015625,0.36474609375,0.32177734375,0.552734375,0.0892333984375,0.5,0.210693359375,0.31494140625,0.285888671875,0.261474609375,0.39306640625,0.40185546875,0.321044921875,0.324951171875,0.76318359375,0.3271484375,0.28857421875,0.444091796875,0.466064453125,0.287841796875,0.274658203125,0.39306640625,0.249267578125,0.26708984375,0.10516357421875,0.525390625
10,0.50244140625,0.397705078125,0.263671875,0.177001953125,0.05535888671875,0.4453125,0.17236328125,0.37646484375,0.2191162109375,0.1329345703125,0.3037109375,0.447998046875,0.042572021484375,0.393310546875,0.312744140625,0.1617431640625,0.059967041015625,0.1978759765625,0.228759765625,0.2490234375,0.194091796875,0.25048828125,0.246826171875,0.11505126953125,0.3212890625,0.1341552734375,0.2744140625,0.0806884765625
11,0.196044921875,0.1126708984375,0.1929931640625,0.1217041015625,0.245361328125,0.235107421875,0.1807861328125,0.200439453125,0.2152099609375,0.40771484375,0.27392578125,0.137451171875,0.1580810546875,0.87109375,0.286865234375,0.2138671875,0.2236328125,0.2095947265625,0.1678466796875,0.136474609375,0.1976318359375,0.46728515625,0.48291015625,0.3212890625,0.40185546875,0.32861328125,0.2425537109375,0.222412109375
12,0.81787109375,0.375732421875,0.46630859375,0.223876953125,0.50146484375,0.1153564453125,0.30517578125,0.25927734375,0.346923828125,0.2044677734375,0.208740234375,0.2095947265625,0.2333984375,0.279296875,0.45849609375,0.32421875,0.06146240234375,0.380859375,0.12158203125,0.2119140625,0.162353515625,0.08001708984375,0.35693359375,0.40869140625,0.53173828125,0.27099609375,0.398193359375,0.3740234375
13,0.33349609375,0.5927734375,0.69482421875,0.4140625,0.36669921875,0.36962890625,0.373046875,0.2314453125,0.1444091796875,0.259521484375,0.30126953125,0.263916015625,0.3427734375,0.27294921875,0.444580078125,0.29638671875,0.27978515625,0.5341796875,0.5712890625,0.31689453125,0.33935546875,0.34423828125,0.71142578125,0.32177734375,0.52197265625,0.552734375,0.434326171875,0.428466796875
14,0.039947509765625,0.08447265625,0.1336669921875,0.05853271484375,0.0010728836059570312,0.0008707046508789062,0.03900146484375,0.03790283203125,0.5341796875,0.288818359375,0.32958984375,0.5927734375,0.394775390625,0.42138671875,0.454345703125,0.65283203125,0.56982421875,0.486328125,0.74755859375,0.5625,0.5419921875,0.36767578125,0.35595703125,0.57861328125,0.46875,0.68603515625,0.34228515625,0.34423828125
15,0.5068359375,0.60595703125,0.28955078125,0.345947265625,0.39501953125,0.272216796875,0.29638671875,0.331787109375,0.1746826171875,0.193115234375,0.261474609375,0.193603515625,0.2021484375,0.32470703125,0.280029296875,0.2447509765625,0.6650390625,0.372314453125,0.1634521484375,0.242431640625,0.37890625,0.33837890625,0.73974609375,0.53662109375,0.373291015625,0.326171875,0.337890625,0.7412109375
16,0.52197265625,1.9326171875,0.77880859375,1.01953125,1.427734375,1.236328125,0.59375,0.67431640625,0.5087890625,0.2222900390625,0.04205322265625,0.10467529296875,0.0924072265625,0.1182861328125,0.7744140625,0.5673828125,0.6015625,0.6689453125,1.1298828125,0.5537109375,0.86962890625,0.29638671875,0.39599609375,0.221923828125,0.451171875,0.45654296875,0.467529296875,0.48486328125
17,0.7119140625,1.1025390625,0.51953125,0.38623046875,0.86474609375,0.467529296875,0.67041015625,0.214599609375,0.32763671875,0.41259765625,0.0220184326171875,0.11181640625,0.10772705078125,0.162109375,0.9287109375,0.2171630859375,0.11181640625,0.35888671875,0.9130859375,0.2056884765625,0.343994140625,0.7685546875,0.568359375,0.6923828125,0.59619140625,0.5830078125,0.81640625,0.7783203125
18,0.6220703125,0.26513671875,0.576171875,0.1463623046875,1.0615234375,0.9560546875,0.505859375,1.3603515625,0.7255859375,0.6103515625,1.431640625,0.40234375,0.58447265625,1.3984375,0.90625,1.724609375,1.232421875,0.96484375,1.322265625,0.4765625,0.8818359375,0.6748046875,0.40234375,0.0758056640625,0.6318359375,1.078125,0.74267578125,0.72509765625
19,1.064453125,0.11962890625,0.76318359375,0.150390625,0.78076171875,0.5595703125,0.56396484375,0.5068359375,0.126708984375,0.132568359375,0.744140625,0.65673828125,0.66357421875,0.38134765625,0.91162109375,1.3896484375,1.1533203125,1.5009765625,0.93359375,1.376953125,0.94140625,1.083984375,1.900390625,2.685546875,1.9765625,1.5927734375,1.23828125,1.2734375
20,1.9248046875,2.2890625,2.85546875,1.8046875,2.46484375,2.15625,0.9755859375,0.35400390625,0.5341796875,0.173095703125,0.37939453125,0.2095947265625,0.1624755859375,0.258544921875,0.9033203125,1.109375,1.708984375,1.744140625,0.9248046875,1.0546875,0.81494140625,1.216796875,1.072265625,2.005859375,0.82421875,0.498779296875,0.9267578125,2.228515625
21,0.83984375,0.6591796875,0.7060546875,0.2998046875,0.238037109375,0.751953125,0.8076171875,0.9697265625,0.6123046875,0.09991455078125,0.482421875,0.21875,0.327880859375,1.404296875,1.1455078125,0.92041015625,0.256103515625,0.73828125,0.609375,1.052734375,0.32275390625,0.44287109375,1.119140625,1.8173828125,0.521484375,2.25390625,1.2578125,1.666015625
22,0.55419921875,0.6767578125,0.64599609375,0.2425537109375,0.02410888671875,0.0653076171875,0.06317138671875,1.7109375,1.2626953125,0.454345703125,1.318359375,1.1279296875,1.37890625,1.7216796875,0.56298828125,0.787109375,0.44873046875,0.42578125,0.8720703125,0.32373046875,0.1898193359375,2.08203125,0.9599609375,0.56982421875,1.28515625,1.2392578125,2.34375,1.9716796875
23,0.5595703125,0.420654296875,0.50048828125,0.1549072265625,0.1300048828125,0.62158203125,0.089111328125,0.156005859375,0.9599609375,0.45458984375,1.4287109375,0.7822265625,0.46923828125,0.97509765625,0.92724609375,1.234375,0.28564453125,0.5849609375,0.921875,1.775390625,0.5859375,1.65625,0.0904541015625,0.08642578125,1.314453125,1.009765625,1.044921875,1.2001953125
24,0.8505859375,0.295654296875,1.083984375,0.89208984375,0.80615234375,2.265625,0.411376953125,0.10516357421875,0.161376953125,0.25439453125,0.09722900390625,0.2445068359375,0.3583984375,0.155029296875,0.5439453125,1.1650390625,0.701171875,0.9677734375,1.185546875,0.88427734375,1.216796875,1.271484375,0.473876953125,0.5869140625,1.001953125,0.5185546875,1.244140625,1.716796875
25,1.052734375,2.234375,1.005859375,2.263671875,1.4365234375,1.7158203125,0.494140625,1.033203125,1.43359375,1.5068359375,0.9462890625,0.9013671875,1.5634765625,0.8896484375,1.078125,2.12109375,0.43505859375,2.12109375,2.451171875,0.3271484375,1.0478515625,0.411376953125,0.40673828125,1.0537109375,0.8955078125,1.134765625,0.397705078125,0.47802734375
26,0.8447265625,1.453125,0.890625,0.99462890625,0.7744140625,1.2578125,2.072265625,0.46630859375,2.69921875,0.65185546875,0.3759765625,0.7705078125,1.0859375,0.53369140625,1.2822265625,1.28515625,1.392578125,1.7705078125,2.20703125,1.642578125,0.86962890625,1.03515625,2.505859375,2.05859375,1.3349609375,1.10546875,1.759765625,0.385498046875
27,1.0771484375,1.1689453125,1.111328125,0.9833984375,1.6435546875,1.1845703125,1.400390625,2.14453125,1.3857421875,1.689453125,2.36328125,2.33203125,2.359375,2.36328125,1.474609375,1.30859375,1.291015625,1.7216796875,1.8984375,0.99609375,1.4013671875,1.4716796875,1.162109375,1.4443359375,1.169921875,1.173828125,0.8984375,1.5078125

Top 10 Most Divergent Heads
Rank,Layer,Head,Divergence
1,20,2,2.85546875
2,26,8,2.69921875
3,19,23,2.685546875
4,26,22,2.505859375
5,20,4,2.46484375
6,25,18,2.451171875
7,27,10,2.36328125
8,27,13,2.36328125
9,27,12,2.359375
10,22,26,2.34375
