Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,0.001003265380859375,0.003719329833984375,0.0018415451049804688,0.004230499267578125,0.002819061279296875,0.00536346435546875,0.0026645660400390625,0.0032806396484375,0.01558685302734375,0.008697509765625,0.0055084228515625,0.019622802734375,0.003978729248046875,0.007495880126953125,0.01081085205078125,0.004001617431640625,0.018402099609375,0.00574493408203125,0.001956939697265625,0.007213592529296875,0.0044097900390625,0.004840850830078125,0.0147247314453125,0.01007843017578125,0.002056121826171875,0.002864837646484375,0.0022430419921875,0.00396728515625,0.004344940185546875,0.0036411285400390625,0.0013628005981445312,4.0531158447265625e-05
1,0.0053253173828125,0.0018644332885742188,0.0170440673828125,0.01540374755859375,0.0009293556213378906,0.0021572113037109375,0.006500244140625,0.0029144287109375,0.00958251953125,0.00812530517578125,0.00783538818359375,0.01320648193359375,0.01081085205078125,0.002269744873046875,0.00414276123046875,0.0099639892578125,0.0036163330078125,0.0028400421142578125,0.00244903564453125,0.00394439697265625,0.00823974609375,0.00479888916015625,0.00492095947265625,0.0078277587890625,0.0006470680236816406,0.00083160400390625,0.000476837158203125,0.0005412101745605469,0.01110076904296875,0.008392333984375,0.006397247314453125,0.006427764892578125
2,0.01102447509765625,0.022247314453125,0.0060577392578125,0.00904083251953125,0.01560211181640625,0.0239105224609375,0.0299072265625,0.00800323486328125,0.0051727294921875,0.005138397216796875,0.00556182861328125,0.0019435882568359375,0.00514984130859375,0.005702972412109375,0.01027679443359375,0.016754150390625,0.010986328125,0.0091400146484375,0.0057373046875,0.01369476318359375,0.00528717041015625,0.004375457763671875,0.01287841796875,0.04144287109375,0.0134429931640625,0.05364990234375,0.0050506591796875,0.002552032470703125,0.0081024169921875,0.00959014892578125,0.002414703369140625,0.0025005340576171875
3,0.0704345703125,0.0296630859375,0.026580810546875,0.030609130859375,0.00209808349609375,0.00399017333984375,0.0045318603515625,0.005466461181640625,0.0193634033203125,0.042877197265625,0.0143890380859375,0.0152130126953125,0.011688232421875,0.0033664703369140625,0.0086822509765625,0.0102996826171875,0.00931549072265625,0.005580902099609375,0.00689697265625,0.0169830322265625,0.0155792236328125,0.0282440185546875,0.03851318359375,0.0220794677734375,0.006389617919921875,0.005596160888671875,0.03448486328125,0.02362060546875,0.03875732421875,0.04437255859375,0.048919677734375,0.0155792236328125
4,0.023895263671875,0.0160980224609375,0.0428466796875,0.1141357421875,0.03363037109375,0.05340576171875,0.0802001953125,0.026580810546875,0.023406982421875,0.018218994140625,0.0263671875,0.032257080078125,0.0292510986328125,0.029998779296875,0.006927490234375,0.0731201171875,0.04669189453125,0.007312774658203125,0.0275421142578125,0.03887939453125,0.08026123046875,0.033416748046875,0.0848388671875,0.022735595703125,0.02685546875,0.054443359375,0.043609619140625,0.01122283935546875,0.0192718505859375,0.00614166259765625,0.0396728515625,0.0675048828125
5,0.048583984375,0.07952880859375,0.02362060546875,0.0204010009765625,0.049163818359375,0.0880126953125,0.058685302734375,0.06201171875,0.018524169921875,0.0112152099609375,0.0165557861328125,0.0211944580078125,0.04803466796875,0.016937255859375,0.021392822265625,0.05682373046875,0.037872314453125,0.0701904296875,0.05419921875,0.041656494140625,0.0180816650390625,0.0051422119140625,0.042999267578125,0.00461578369140625,0.0889892578125,0.04620361328125,0.0257110595703125,0.0906982421875,0.04901123046875,0.01253509521484375,0.042083740234375,0.05450439453125
6,0.05804443359375,0.029022216796875,0.00670623779296875,0.0496826171875,0.147705078125,0.0721435546875,0.1099853515625,0.08184814453125,0.00800323486328125,0.038543701171875,0.00655364990234375,0.03204345703125,0.03887939453125,0.0665283203125,0.0899658203125,0.07562255859375,0.028961181640625,0.04351806640625,0.0770263671875,0.056549072265625,0.1121826171875,0.1036376953125,0.1107177734375,0.0828857421875,0.0355224609375,0.023681640625,0.0242462158203125,0.027618408203125,0.0053863525390625,0.04473876953125,0.019256591796875,0.0117340087890625
7,0.0304412841796875,0.046783447265625,0.0164031982421875,0.0294647216796875,0.0760498046875,0.0716552734375,0.0870361328125,0.0972900390625,0.08221435546875,0.099365234375,0.166748046875,0.1097412109375,0.0496826171875,0.0828857421875,0.062103271484375,0.1162109375,0.0699462890625,0.0985107421875,0.090576171875,0.05267333984375,0.099609375,0.0706787109375,0.0184783935546875,0.1431884765625,0.0914306640625,0.00934600830078125,0.05084228515625,0.0225372314453125,0.1177978515625,0.11065673828125,0.1063232421875,0.084716796875
8,0.071044921875,0.0186004638671875,0.1207275390625,0.0264129638671875,0.05072021484375,0.1029052734375,0.08587646484375,0.10772705078125,0.09429931640625,0.047210693359375,0.08349609375,0.04046630859375,0.0804443359375,0.09197998046875,0.059967041015625,0.11846923828125,0.0645751953125,0.0626220703125,0.06915283203125,0.0926513671875,0.089111328125,0.0919189453125,0.056793212890625,0.09649658203125,0.1190185546875,0.1553955078125,0.14697265625,0.060211181640625,0.099609375,0.0950927734375,0.1259765625,0.136962890625
9,0.0906982421875,0.1365966796875,0.1636962890625,0.155029296875,0.0738525390625,0.11553955078125,0.045135498046875,0.045257568359375,0.072265625,0.0792236328125,0.09295654296875,0.05157470703125,0.1142578125,0.1627197265625,0.10791015625,0.134521484375,0.1146240234375,0.08935546875,0.080810546875,0.09979248046875,0.12274169921875,0.130615234375,0.128173828125,0.11151123046875,0.14404296875,0.0115509033203125,0.0270538330078125,0.051422119140625,0.1116943359375,0.2269287109375,0.059967041015625,0.160888671875
10,0.11651611328125,0.1234130859375,0.030731201171875,0.04229736328125,0.0633544921875,0.0131378173828125,0.03326416015625,0.031768798828125,0.0716552734375,0.08123779296875,0.1297607421875,0.0360107421875,0.0020294189453125,0.0243072509765625,0.01715087890625,0.075927734375,0.1080322265625,0.125732421875,0.1710205078125,0.153076171875,0.241455078125,0.0782470703125,0.2216796875,0.138916015625,0.1666259765625,0.1676025390625,0.1676025390625,0.265380859375,0.07012939453125,0.11669921875,0.0975341796875,0.036407470703125
11,0.264404296875,0.1282958984375,0.150146484375,0.1048583984375,0.12744140625,0.1578369140625,0.0782470703125,0.086669921875,0.11016845703125,0.1376953125,0.093017578125,0.11932373046875,0.0958251953125,0.12188720703125,0.1412353515625,0.135986328125,0.0767822265625,0.10614013671875,0.080078125,0.12078857421875,0.10418701171875,0.138427734375,0.11181640625,0.12469482421875,0.137451171875,0.15771484375,0.164794921875,0.148193359375,0.03668212890625,0.018768310546875,0.02117919921875,0.050384521484375
12,0.144775390625,0.09619140625,0.14453125,0.1376953125,0.186279296875,0.14453125,0.18359375,0.1190185546875,0.12548828125,0.1732177734375,0.1685791015625,0.2142333984375,0.2626953125,0.12109375,0.10174560546875,0.206298828125,0.052978515625,0.030120849609375,0.034942626953125,0.0225830078125,0.1170654296875,0.1895751953125,0.1031494140625,0.1051025390625,0.12335205078125,0.1368408203125,0.147216796875,0.143310546875,0.201416015625,0.10791015625,0.11297607421875,0.1751708984375
13,0.213623046875,0.2252197265625,0.186767578125,0.1929931640625,0.13916015625,0.198974609375,0.1358642578125,0.183349609375,0.1790771484375,0.146728515625,0.1409912109375,0.26025390625,0.2626953125,0.15478515625,0.205810546875,0.340087890625,0.220947265625,0.156494140625,0.221923828125,0.190673828125,0.1204833984375,0.1510009765625,0.1337890625,0.191650390625,0.11346435546875,0.1302490234375,0.05450439453125,0.059417724609375,0.142578125,0.093017578125,0.138916015625,0.0921630859375
14,0.169677734375,0.1805419921875,0.3408203125,0.268310546875,0.153564453125,0.315185546875,0.163330078125,0.1453857421875,0.16552734375,0.11962890625,0.11346435546875,0.1689453125,0.203857421875,0.1556396484375,0.1273193359375,0.1285400390625,0.08624267578125,0.022735595703125,0.024993896484375,0.06842041015625,0.1473388671875,0.130615234375,0.210205078125,0.1949462890625,0.178466796875,0.130615234375,0.153564453125,0.08087158203125,0.10272216796875,0.202880859375,0.202880859375,0.31689453125
15,0.03387451171875,0.00498199462890625,0.005237579345703125,0.05078125,0.484375,0.2496337890625,0.188232421875,0.206298828125,0.28076171875,0.27001953125,0.2083740234375,0.2318115234375,0.1171875,0.0469970703125,0.05914306640625,0.0297088623046875,0.04449462890625,0.01279449462890625,0.036163330078125,0.00710296630859375,0.1656494140625,0.1456298828125,0.2626953125,0.220947265625,0.1585693359375,0.1331787109375,0.11944580078125,0.12890625,0.00412750244140625,0.025604248046875,0.01568603515625,0.00762176513671875
16,0.08062744140625,0.05804443359375,0.060882568359375,0.08447265625,0.203125,0.0657958984375,0.15087890625,0.115234375,0.085205078125,0.0220489501953125,0.11163330078125,0.04632568359375,0.057373046875,0.07275390625,0.029449462890625,0.125244140625,0.0838623046875,0.12890625,0.05902099609375,0.1297607421875,0.01432037353515625,0.0086822509765625,0.0311279296875,0.0108795166015625,0.1383056640625,0.205322265625,0.2119140625,0.1607666015625,0.19677734375,0.136474609375,0.2119140625,0.1683349609375
17,0.0726318359375,0.0134735107421875,0.046600341796875,0.09393310546875,0.1611328125,0.14794921875,0.128173828125,0.1473388671875,0.00472259521484375,0.0092926025390625,0.00516510009765625,0.017669677734375,0.0634765625,0.0970458984375,0.10809326171875,0.10662841796875,0.00945281982421875,0.00751495361328125,0.0280303955078125,0.0162200927734375,0.223876953125,0.224365234375,0.06201171875,0.0826416015625,0.11669921875,0.188232421875,0.2529296875,0.08648681640625,0.1658935546875,0.147705078125,0.035675048828125,0.144775390625
18,0.3076171875,0.01434326171875,0.04962158203125,0.0085601806640625,0.01528167724609375,0.01629638671875,0.004119873046875,0.0084381103515625,0.33056640625,0.19091796875,0.026580810546875,0.2509765625,0.047119140625,0.003696441650390625,0.0950927734375,0.0271759033203125,0.025390625,0.004688262939453125,0.06195068359375,0.029296875,0.1458740234375,0.0083770751953125,0.127197265625,0.254638671875,0.28857421875,0.10089111328125,0.075927734375,0.056976318359375,0.1278076171875,0.05206298828125,0.0250244140625,0.00904083251953125
19,0.019989013671875,0.0150604248046875,0.0235443115234375,0.1522216796875,0.0083160400390625,0.01084136962890625,0.01200103759765625,0.037872314453125,0.0880126953125,0.2685546875,0.1590576171875,0.13037109375,0.00995635986328125,0.05255126953125,0.069580078125,0.0241241455078125,0.0200653076171875,0.0114593505859375,0.016937255859375,0.0092620849609375,0.142333984375,0.0860595703125,0.03900146484375,0.080078125,0.0111083984375,0.016387939453125,0.002300262451171875,0.007068634033203125,0.0178070068359375,0.01511383056640625,0.0677490234375,0.0118408203125
20,0.044830322265625,0.04925537109375,0.017333984375,0.035980224609375,0.0099334716796875,0.00390625,0.0120391845703125,0.007122039794921875,0.051849365234375,0.1015625,0.03851318359375,0.05029296875,0.06524658203125,0.016937255859375,0.08880615234375,0.0931396484375,0.023895263671875,0.017425537109375,0.0146026611328125,0.00830841064453125,0.053863525390625,0.0152587890625,0.03143310546875,0.0845947265625,0.09722900390625,0.1419677734375,0.207763671875,0.03594970703125,0.049713134765625,0.1168212890625,0.2174072265625,0.0902099609375
21,0.0958251953125,0.060791015625,0.1668701171875,0.07244873046875,0.061614990234375,0.06304931640625,0.05621337890625,0.0235137939453125,0.1903076171875,0.131591796875,0.1324462890625,0.253173828125,0.1121826171875,0.079833984375,0.03759765625,0.03619384765625,0.0231475830078125,0.0274200439453125,0.04229736328125,0.043731689453125,0.0178680419921875,0.01528167724609375,0.00807952880859375,0.02386474609375,0.034698486328125,0.05810546875,0.1033935546875,0.026702880859375,0.0157012939453125,0.0138397216796875,0.0157012939453125,0.1246337890625
