Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,0.00054168701171875,0.007083892822265625,0.0005140304565429688,0.0003762245178222656,0.00182342529296875,0.0016736984252929688,0.0008683204650878906,0.0141754150390625,0.00566864013671875,0.004192352294921875,0.002063751220703125,0.00930023193359375,0.00217437744140625,0.0024471282958984375,0.00868988037109375,0.001499176025390625,0.0178070068359375,0.003284454345703125,0.0004930496215820312,0.0020389556884765625,0.012725830078125,0.0005869865417480469,0.0034275054931640625,0.004657745361328125,0.0012121200561523438,0.0015239715576171875,0.0012693405151367188,0.0017862319946289062,0.0010776519775390625,0.00048232078552246094,0.00012826919555664062,3.3020973205566406e-05
1,0.0023937225341796875,0.000545501708984375,0.003971099853515625,0.007633209228515625,0.0003192424774169922,0.0010557174682617188,0.003406524658203125,0.001224517822265625,0.005695343017578125,0.0025501251220703125,0.004177093505859375,0.00679779052734375,0.0042572021484375,0.0006103515625,0.0014438629150390625,0.007602691650390625,0.0016164779663085938,0.0014276504516601562,0.0009145736694335938,0.0016489028930664062,0.003276824951171875,0.002239227294921875,0.0016508102416992188,0.0036792755126953125,0.0002808570861816406,0.0002899169921875,0.0001779794692993164,0.00031256675720214844,0.0031986236572265625,0.0015583038330078125,0.0025959014892578125,0.0026378631591796875
2,0.004058837890625,0.00461578369140625,0.00464630126953125,0.003437042236328125,0.0058441162109375,0.00659942626953125,0.006870269775390625,0.0035610198974609375,0.001407623291015625,0.00182342529296875,0.0019063949584960938,0.001346588134765625,0.0016536712646484375,0.0029888153076171875,0.0026416778564453125,0.0030994415283203125,0.004528045654296875,0.00452423095703125,0.0022602081298828125,0.0036411285400390625,0.0002903938293457031,0.0002377033233642578,0.0015172958374023438,0.0094757080078125,0.005130767822265625,0.007671356201171875,0.00409698486328125,0.0009288787841796875,0.003265380859375,0.0023956298828125,0.00196075439453125,0.001323699951171875
3,0.0182342529296875,0.0095367431640625,0.00864410400390625,0.01025390625,0.000682830810546875,0.0011205673217773438,0.0013284683227539062,0.00141143798828125,0.0042572021484375,0.02056884765625,0.0050506591796875,0.0035839080810546875,0.0027980804443359375,0.000904083251953125,0.0034923553466796875,0.0037555694580078125,0.0028934478759765625,0.0025844573974609375,0.002315521240234375,0.004608154296875,0.0038604736328125,0.0081329345703125,0.013702392578125,0.006099700927734375,0.0033550262451171875,0.0015716552734375,0.0178070068359375,0.00611114501953125,0.01313018798828125,0.0150146484375,0.0167236328125,0.004985809326171875
4,0.006389617919921875,0.0034809112548828125,0.01219940185546875,0.03253173828125,0.0185546875,0.0172119140625,0.0191497802734375,0.0233001708984375,0.0047454833984375,0.006832122802734375,0.00872039794921875,0.0074462890625,0.006404876708984375,0.0186920166015625,0.002063751220703125,0.035308837890625,0.00775146484375,0.002971649169921875,0.0098114013671875,0.006420135498046875,0.014068603515625,0.005695343017578125,0.01983642578125,0.005031585693359375,0.01396942138671875,0.0292510986328125,0.0128936767578125,0.006988525390625,0.004878997802734375,0.0012826919555664062,0.0091400146484375,0.0305328369140625
5,0.0122528076171875,0.0181427001953125,0.0066070556640625,0.005802154541015625,0.028045654296875,0.01131439208984375,0.00861358642578125,0.0122222900390625,0.003177642822265625,0.0019273757934570312,0.003925323486328125,0.00397491455078125,0.02703857421875,0.017059326171875,0.00971221923828125,0.03265380859375,0.00753021240234375,0.0211334228515625,0.01556396484375,0.01561737060546875,0.003978729248046875,0.0014734268188476562,0.011016845703125,0.0013074874877929688,0.0160675048828125,0.014404296875,0.00957489013671875,0.02471923828125,0.026214599609375,0.00370025634765625,0.0178680419921875,0.0233917236328125
6,0.016632080078125,0.00768280029296875,0.0016069412231445312,0.0142974853515625,0.022430419921875,0.0255126953125,0.0230255126953125,0.0283050537109375,0.00247955322265625,0.01161956787109375,0.0014753341674804688,0.00664520263671875,0.00931549072265625,0.0260772705078125,0.027069091796875,0.0253448486328125,0.00817108154296875,0.007259368896484375,0.023101806640625,0.01094818115234375,0.0294189453125,0.0293731689453125,0.03912353515625,0.0231475830078125,0.00746917724609375,0.002685546875,0.004589080810546875,0.005603790283203125,0.001598358154296875,0.01422119140625,0.00411224365234375,0.0054473876953125
7,0.0103759765625,0.0157470703125,0.00397491455078125,0.0081329345703125,0.019012451171875,0.014129638671875,0.0172576904296875,0.0150299072265625,0.0276031494140625,0.0325927734375,0.064453125,0.0355224609375,0.015625,0.0236968994140625,0.02001953125,0.04290771484375,0.0268402099609375,0.0240325927734375,0.0299835205078125,0.014892578125,0.032196044921875,0.02606201171875,0.005031585693359375,0.032318115234375,0.0287322998046875,0.00171661376953125,0.019866943359375,0.007511138916015625,0.03759765625,0.055694580078125,0.03985595703125,0.037261962890625
8,0.02044677734375,0.007167816162109375,0.05487060546875,0.007778167724609375,0.0103912353515625,0.0277252197265625,0.030242919921875,0.0205230712890625,0.0362548828125,0.01151275634765625,0.021209716796875,0.0177001953125,0.0281524658203125,0.040130615234375,0.014434814453125,0.029296875,0.0194244384765625,0.01861572265625,0.023681640625,0.0176544189453125,0.0219879150390625,0.0183563232421875,0.01145172119140625,0.0248870849609375,0.046173095703125,0.04339599609375,0.0304107666015625,0.020721435546875,0.04205322265625,0.02001953125,0.039703369140625,0.07476806640625
9,0.020782470703125,0.042694091796875,0.0411376953125,0.0606689453125,0.0260467529296875,0.034759521484375,0.01221466064453125,0.0116119384765625,0.034881591796875,0.0229339599609375,0.03668212890625,0.015228271484375,0.032470703125,0.04339599609375,0.0310821533203125,0.04205322265625,0.0230865478515625,0.022186279296875,0.0243377685546875,0.02935791015625,0.0186767578125,0.030426025390625,0.02984619140625,0.0291595458984375,0.05023193359375,0.0034923553466796875,0.01039886474609375,0.0259552001953125,0.037506103515625,0.08538818359375,0.03289794921875,0.04083251953125
