Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,tensor(0.0016),tensor(0.0050),tensor(0.0026),tensor(0.0025),tensor(0.0024),tensor(0.0035),tensor(0.0021),tensor(0.0033),tensor(0.0125),tensor(0.0089),tensor(0.0050),tensor(0.0191),tensor(0.0044),tensor(0.0067),tensor(0.0076),tensor(0.0034),tensor(0.0190),tensor(0.0053),tensor(0.0016),tensor(0.0076),tensor(0.0081),tensor(0.0028),tensor(0.0092),tensor(0.0122),tensor(0.0020),tensor(0.0033),tensor(0.0022),tensor(0.0045),tensor(0.0038),tensor(0.0052),tensor(0.0009),tensor(3.2425e-05)
1,tensor(0.0057),tensor(0.0020),tensor(0.0108),tensor(0.0155),tensor(0.0009),tensor(0.0023),tensor(0.0071),tensor(0.0031),tensor(0.0115),tensor(0.0065),tensor(0.0080),tensor(0.0133),tensor(0.0090),tensor(0.0020),tensor(0.0035),tensor(0.0110),tensor(0.0037),tensor(0.0030),tensor(0.0024),tensor(0.0039),tensor(0.0078),tensor(0.0046),tensor(0.0043),tensor(0.0082),tensor(0.0007),tensor(0.0007),tensor(0.0005),tensor(0.0006),tensor(0.0100),tensor(0.0062),tensor(0.0074),tensor(0.0063)
2,tensor(0.0095),tensor(0.0164),tensor(0.0065),tensor(0.0085),tensor(0.0161),tensor(0.0213),tensor(0.0236),tensor(0.0077),tensor(0.0043),tensor(0.0054),tensor(0.0058),tensor(0.0024),tensor(0.0053),tensor(0.0061),tensor(0.0100),tensor(0.0190),tensor(0.0102),tensor(0.0098),tensor(0.0058),tensor(0.0121),tensor(0.0026),tensor(0.0017),tensor(0.0165),tensor(0.0318),tensor(0.0112),tensor(0.0446),tensor(0.0058),tensor(0.0029),tensor(0.0076),tensor(0.0061),tensor(0.0021),tensor(0.0020)
3,tensor(0.0566),tensor(0.0279),tensor(0.0213),tensor(0.0237),tensor(0.0019),tensor(0.0042),tensor(0.0040),tensor(0.0054),tensor(0.0162),tensor(0.0404),tensor(0.0136),tensor(0.0135),tensor(0.0090),tensor(0.0029),tensor(0.0070),tensor(0.0078),tensor(0.0088),tensor(0.0053),tensor(0.0063),tensor(0.0163),tensor(0.0116),tensor(0.0255),tensor(0.0332),tensor(0.0201),tensor(0.0075),tensor(0.0046),tensor(0.0333),tensor(0.0255),tensor(0.0355),tensor(0.0422),tensor(0.0483),tensor(0.0156)
4,tensor(0.0219),tensor(0.0122),tensor(0.0416),tensor(0.1057),tensor(0.0347),tensor(0.0470),tensor(0.0659),tensor(0.0336),tensor(0.0224),tensor(0.0185),tensor(0.0255),tensor(0.0282),tensor(0.0219),tensor(0.0317),tensor(0.0073),tensor(0.0781),tensor(0.0378),tensor(0.0065),tensor(0.0274),tensor(0.0356),tensor(0.0678),tensor(0.0268),tensor(0.0710),tensor(0.0225),tensor(0.0263),tensor(0.0609),tensor(0.0382),tensor(0.0112),tensor(0.0140),tensor(0.0055),tensor(0.0240),tensor(0.0662)
5,tensor(0.0470),tensor(0.0616),tensor(0.0241),tensor(0.0170),tensor(0.0485),tensor(0.0642),tensor(0.0457),tensor(0.0435),tensor(0.0080),tensor(0.0080),tensor(0.0112),tensor(0.0132),tensor(0.0447),tensor(0.0266),tensor(0.0221),tensor(0.0529),tensor(0.0225),tensor(0.0721),tensor(0.0500),tensor(0.0398),tensor(0.0147),tensor(0.0039),tensor(0.0372),tensor(0.0042),tensor(0.0652),tensor(0.0401),tensor(0.0253),tensor(0.0756),tensor(0.0543),tensor(0.0130),tensor(0.0420),tensor(0.0593)
6,tensor(0.0587),tensor(0.0275),tensor(0.0059),tensor(0.0427),tensor(0.1331),tensor(0.0670),tensor(0.0903),tensor(0.0799),tensor(0.0065),tensor(0.0333),tensor(0.0059),tensor(0.0288),tensor(0.0359),tensor(0.0628),tensor(0.0798),tensor(0.0707),tensor(0.0249),tensor(0.0349),tensor(0.0628),tensor(0.0418),tensor(0.0886),tensor(0.0833),tensor(0.1017),tensor(0.0623),tensor(0.0295),tensor(0.0120),tensor(0.0212),tensor(0.0235),tensor(0.0051),tensor(0.0411),tensor(0.0157),tensor(0.0126)
7,tensor(0.0293),tensor(0.0476),tensor(0.0129),tensor(0.0278),tensor(0.0670),tensor(0.0530),tensor(0.0713),tensor(0.0716),tensor(0.0756),tensor(0.1018),tensor(0.1549),tensor(0.1078),tensor(0.0399),tensor(0.0686),tensor(0.0576),tensor(0.1362),tensor(0.0750),tensor(0.1109),tensor(0.0941),tensor(0.0606),tensor(0.0897),tensor(0.0627),tensor(0.0165),tensor(0.1231),tensor(0.0911),tensor(0.0067),tensor(0.0480),tensor(0.0217),tensor(0.1270),tensor(0.1068),tensor(0.0967),tensor(0.0854)
8,tensor(0.0620),tensor(0.0178),tensor(0.1230),tensor(0.0270),tensor(0.0361),tensor(0.0773),tensor(0.0768),tensor(0.0838),tensor(0.0995),tensor(0.0429),tensor(0.0665),tensor(0.0387),tensor(0.0807),tensor(0.0872),tensor(0.0598),tensor(0.1122),tensor(0.0648),tensor(0.0699),tensor(0.0712),tensor(0.0859),tensor(0.0739),tensor(0.0714),tensor(0.0461),tensor(0.0812),tensor(0.1249),tensor(0.1431),tensor(0.1208),tensor(0.0613),tensor(0.0869),tensor(0.0922),tensor(0.1287),tensor(0.1334)
9,tensor(0.0822),tensor(0.1471),tensor(0.1537),tensor(0.1454),tensor(0.0617),tensor(0.1096),tensor(0.0446),tensor(0.0405),tensor(0.0735),tensor(0.0657),tensor(0.0903),tensor(0.0466),tensor(0.1110),tensor(0.1578),tensor(0.1064),tensor(0.1218),tensor(0.0883),tensor(0.0746),tensor(0.0740),tensor(0.0883),tensor(0.1020),tensor(0.1277),tensor(0.1165),tensor(0.0897),tensor(0.1484),tensor(0.0109),tensor(0.0270),tensor(0.0542),tensor(0.1055),tensor(0.2069),tensor(0.0635),tensor(0.1444)
