Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,0.0010442733764648438,0.00438690185546875,0.002468109130859375,0.002712249755859375,0.002208709716796875,0.004116058349609375,0.0022258758544921875,0.0032253265380859375,0.0149688720703125,0.008575439453125,0.0051727294921875,0.0195465087890625,0.0046844482421875,0.00753021240234375,0.0089263916015625,0.003826141357421875,0.0244293212890625,0.006015777587890625,0.0018463134765625,0.007404327392578125,0.00438690185546875,0.003696441650390625,0.011016845703125,0.0099639892578125,0.0021038055419921875,0.0028858184814453125,0.002353668212890625,0.0041046142578125,0.004314422607421875,0.004230499267578125,0.0010557174682617188,3.218650817871094e-05
1,0.00551605224609375,0.0019245147705078125,0.0107574462890625,0.0161895751953125,0.0008153915405273438,0.0021419525146484375,0.006988525390625,0.002902984619140625,0.0097503662109375,0.007305145263671875,0.007770538330078125,0.01352691650390625,0.00943756103515625,0.0022945404052734375,0.00395965576171875,0.01042938232421875,0.0037689208984375,0.0030803680419921875,0.0023040771484375,0.00415802001953125,0.00765228271484375,0.004467010498046875,0.004791259765625,0.00914764404296875,0.0006361007690429688,0.0008726119995117188,0.0004906654357910156,0.0005946159362792969,0.0094146728515625,0.00711822509765625,0.00711822509765625,0.00656890869140625
2,0.0131683349609375,0.01776123046875,0.006866455078125,0.009429931640625,0.0163726806640625,0.022674560546875,0.025634765625,0.00821685791015625,0.00530242919921875,0.00591278076171875,0.005771636962890625,0.002124786376953125,0.006877899169921875,0.00617218017578125,0.0095062255859375,0.016326904296875,0.0114593505859375,0.00982666015625,0.00634765625,0.01336669921875,0.0033664703369140625,0.002552032470703125,0.015899658203125,0.03778076171875,0.0128173828125,0.052642822265625,0.00571441650390625,0.002605438232421875,0.0084075927734375,0.007038116455078125,0.002674102783203125,0.0027904510498046875
3,0.048828125,0.0285186767578125,0.021514892578125,0.030029296875,0.00179290771484375,0.0044708251953125,0.00455474853515625,0.00502777099609375,0.019378662109375,0.043243408203125,0.01462554931640625,0.015777587890625,0.0115509033203125,0.0035552978515625,0.008453369140625,0.00742340087890625,0.0100250244140625,0.005558013916015625,0.00711822509765625,0.016387939453125,0.011138916015625,0.0288543701171875,0.032867431640625,0.0199737548828125,0.0064697265625,0.0048065185546875,0.033599853515625,0.025604248046875,0.03729248046875,0.04400634765625,0.048980712890625,0.0153045654296875
4,0.020904541015625,0.01277923583984375,0.04290771484375,0.1148681640625,0.03302001953125,0.0496826171875,0.0748291015625,0.02880859375,0.021759033203125,0.0193939208984375,0.0254669189453125,0.0296630859375,0.024261474609375,0.0309295654296875,0.006855010986328125,0.07427978515625,0.0391845703125,0.00750732421875,0.028961181640625,0.043365478515625,0.07623291015625,0.032440185546875,0.08392333984375,0.022796630859375,0.0270538330078125,0.05841064453125,0.04296875,0.0123138427734375,0.0161590576171875,0.00626373291015625,0.028839111328125,0.05828857421875
5,0.0499267578125,0.07147216796875,0.026275634765625,0.0205230712890625,0.047454833984375,0.0904541015625,0.05511474609375,0.054107666015625,0.00904083251953125,0.0096435546875,0.01345062255859375,0.0178375244140625,0.03900146484375,0.017425537109375,0.022125244140625,0.056640625,0.0259552001953125,0.07427978515625,0.061767578125,0.038970947265625,0.01448822021484375,0.00446319580078125,0.039794921875,0.00408172607421875,0.10107421875,0.047393798828125,0.023468017578125,0.0904541015625,0.050445556640625,0.0133056640625,0.0406494140625,0.056060791015625
6,0.061431884765625,0.030029296875,0.00563812255859375,0.052093505859375,0.141845703125,0.0687255859375,0.09991455078125,0.07977294921875,0.007110595703125,0.0391845703125,0.00740814208984375,0.03411865234375,0.03900146484375,0.06878662109375,0.0865478515625,0.0765380859375,0.02734375,0.03973388671875,0.0743408203125,0.04595947265625,0.09417724609375,0.0899658203125,0.1090087890625,0.072021484375,0.036956787109375,0.021697998046875,0.022735595703125,0.0249786376953125,0.006206512451171875,0.052093505859375,0.019256591796875,0.01322174072265625
7,0.0301513671875,0.042449951171875,0.0134429931640625,0.02685546875,0.0762939453125,0.06561279296875,0.072265625,0.0789794921875,0.07305908203125,0.1004638671875,0.1512451171875,0.1201171875,0.0419921875,0.08062744140625,0.05511474609375,0.11590576171875,0.07598876953125,0.099365234375,0.09063720703125,0.057373046875,0.10302734375,0.0633544921875,0.01666259765625,0.136474609375,0.09149169921875,0.00839996337890625,0.053955078125,0.023529052734375,0.1263427734375,0.09912109375,0.1085205078125,0.08135986328125
8,0.062164306640625,0.0182952880859375,0.12841796875,0.03143310546875,0.0384521484375,0.08319091796875,0.0780029296875,0.0997314453125,0.09393310546875,0.04473876953125,0.0718994140625,0.03692626953125,0.0809326171875,0.08245849609375,0.061920166015625,0.12469482421875,0.067626953125,0.0626220703125,0.0638427734375,0.078857421875,0.07794189453125,0.0791015625,0.04974365234375,0.0882568359375,0.12091064453125,0.1763916015625,0.1434326171875,0.060638427734375,0.0947265625,0.10205078125,0.135498046875,0.1383056640625
9,0.091064453125,0.1361083984375,0.1641845703125,0.1458740234375,0.0667724609375,0.11309814453125,0.0438232421875,0.039154052734375,0.07354736328125,0.06939697265625,0.08843994140625,0.04742431640625,0.115234375,0.1783447265625,0.10516357421875,0.1380615234375,0.0941162109375,0.08819580078125,0.0787353515625,0.0941162109375,0.11407470703125,0.132080078125,0.132080078125,0.08868408203125,0.1578369140625,0.0102996826171875,0.029205322265625,0.056396484375,0.1087646484375,0.2568359375,0.0654296875,0.1590576171875
