Rank,Layer,Head,certain,manipulated_1,manipulated_2,manipulated_3,increase_certain_to_manipulated_1,increase_manipulated_1_to_manipulated_2,increase_manipulated_2_to_manipulated_3,total_increase_certain_to_manipulated_3,trend_slope_per_step,monotonic_increase
1,31,Head_14,0.0,0.2908,0.4707,0.6875,0.2908,0.1799,0.2168,0.6875,0.22916666666666666,True
2,15,Head_4,0.0,0.291,0.4546,0.6675,0.291,0.16360000000000002,0.21289999999999998,0.6675,0.2225,True
3,31,Head_3,0.0,0.2874,0.4539,0.6553,0.2874,0.16650000000000004,0.20139999999999997,0.6553,0.21843333333333334,True
4,14,Head_2,0.0,0.2152,0.3689,0.5454,0.2152,0.1537,0.1765,0.5454,0.1818,True
5,14,Head_5,0.0,0.2213,0.3506,0.5391,0.2213,0.12930000000000003,0.1885,0.5391,0.1797,True
6,13,Head_15,0.0,0.225,0.3633,0.5151,0.225,0.1383,0.1518,0.5151,0.1717,True
7,30,Head_27,0.0,0.2334,0.3657,0.5107,0.2334,0.13230000000000003,0.14500000000000002,0.5107,0.17023333333333335,True
8,23,Head_28,0.0,0.2047,0.332,0.4937,0.2047,0.12730000000000002,0.1617,0.4937,0.16456666666666667,True
9,18,Head_8,0.0,0.1866,0.3179,0.4807,0.1866,0.13130000000000003,0.1628,0.4807,0.16023333333333334,True
10,15,Head_22,0.0,0.218,0.3203,0.4502,0.218,0.10229999999999997,0.12990000000000002,0.4502,0.15006666666666665,True
11,18,Head_0,0.0,0.2019,0.3059,0.4421,0.2019,0.10400000000000001,0.1362,0.4421,0.14736666666666667,True
12,18,Head_24,0.0,0.2003,0.2998,0.4407,0.2003,0.0995,0.14089999999999997,0.4407,0.1469,True
13,26,Head_23,0.0,0.2131,0.3035,0.4346,0.2131,0.09039999999999998,0.1311,0.4346,0.14486666666666667,True
14,14,Head_31,0.0,0.1969,0.3088,0.4307,0.1969,0.11190000000000003,0.12190000000000001,0.4307,0.14356666666666668,True
15,28,Head_10,0.0,0.1833,0.2847,0.4221,0.1833,0.10140000000000002,0.13739999999999997,0.4221,0.1407,True
16,13,Head_11,0.0,0.1843,0.2883,0.4138,0.1843,0.10400000000000001,0.1255,0.4138,0.13793333333333332,True
17,17,Head_20,0.0,0.14,0.2261,0.4014,0.14,0.08609999999999998,0.17529999999999998,0.4014,0.1338,True
18,18,Head_11,0.0,0.1637,0.2656,0.3984,0.1637,0.10189999999999999,0.13279999999999997,0.3984,0.1328,True
