Example,Label,PC1,PC2
0,certain,-2.1157277,0.5991459
1,certain,3.7618127,1.6133846
2,certain,0.08296124,1.7140181
3,certain,2.9871545,1.2151465
4,certain,1.9987705,1.6484803
5,certain,0.4405851,2.6276267
6,certain,-2.1175606,-1.4296525
7,certain,0.8083433,-2.027032
8,certain,1.0499504,-2.2551286
9,certain,-0.1463859,-2.0659893
10,certain,-6.0150905,-1.4617176
11,certain,1.2496684,1.1739868
12,certain,3.9513116,-2.0009599
13,certain,-1.1057402,-1.1066629
14,certain,0.86426663,-1.5321033
15,certain,3.433414,-2.3504937
16,certain,-2.1508272,-1.4478308
17,certain,0.4686316,-1.3690938
18,certain,4.0351315,1.1699276
19,certain,2.8300536,1.6363349
20,certain,2.8138213,2.3860424
21,certain,-5.223947,2.5983868
22,certain,0.27140084,2.3176363
23,certain,-1.3208447,1.7542242
24,certain,-0.5810812,2.097136
25,certain,-5.857817,2.6005747
26,certain,-3.6622162,-0.6351403
27,certain,-3.6589556,2.3924756
28,certain,-4.6512527,2.5817125
29,certain,1.6980369,1.5774453
30,certain,-0.7860151,1.459882
31,certain,-3.4189734,2.1509686
32,certain,-2.0556426,1.9745022
33,certain,-1.156307,2.0392241
34,certain,-0.4048542,2.593284
35,certain,-6.762929,2.8860357
36,certain,-4.1889825,2.2075064
37,certain,-0.19110402,1.2155191
38,certain,-3.56769,2.3754756
39,certain,1.5065036,1.8831909
40,certain,-0.573644,2.58629
41,certain,-1.0214118,2.5432816
42,certain,-0.016502008,1.9147389
43,certain,0.97979313,2.2506928
44,certain,-1.6898069,2.2695985
45,certain,3.0640066,1.1735725
46,certain,-3.061687,2.1981978
47,certain,-3.0720875,3.0907383
48,certain,1.3617071,-2.3173187
49,certain,-0.8444549,-2.118275
50,certain,0.5102011,1.4046832
51,certain,-5.8447065,1.9259336
52,certain,-3.1815891,1.8837852
53,certain,-5.1423593,2.7314568
54,certain,0.74056256,2.062625
55,certain,-1.4529986,1.4104056
56,certain,-2.9549656,2.0113058
57,certain,-2.1371222,1.8453708
58,certain,4.1550508,-1.7088035
59,certain,-0.8941433,-1.06929
60,certain,0.17978033,-1.6034194
61,certain,-6.4254813,-0.9250354
62,certain,4.090547,-2.257732
63,certain,1.68132,-1.9825499
64,certain,-2.9997933,-1.5249182
65,certain,3.9475467,-2.4261127
66,certain,1.1637504,-2.1537795
67,certain,1.5028877,2.1688023
68,certain,1.8746152,1.7385166
69,certain,0.20272765,2.123535
70,certain,-1.7222153,2.2357416
71,certain,2.5808468,1.7988248
72,certain,-1.9802026,2.0320861
73,certain,3.198589,1.9520341
74,certain,0.38873753,2.702983
75,certain,3.274979,2.4788725
76,certain,-0.29544914,1.7605883
77,certain,3.3031104,1.7667903
78,certain,1.512632,1.9872345
79,certain,2.6958888,1.5926099
80,certain,3.372173,1.0138043
81,certain,2.6767886,1.5857925
82,certain,2.8954015,1.5694636
83,certain,2.0502775,1.9863472
84,certain,1.6980329,-1.9002395
85,certain,3.346195,-2.5110726
86,certain,-0.18479393,-1.7698362
87,certain,3.439455,-1.7853714
88,certain,0.7128103,-1.2825229
89,certain,-0.5678493,-0.84099495
90,certain,-0.43594164,-1.3037387
91,certain,1.2674646,-1.6361996
92,certain,-3.7816954,-1.2073848
93,certain,0.8327615,-1.6721134
94,certain,1.0437354,-1.6222153
95,certain,-4.1308413,-0.7746618
96,certain,-4.5405054,-0.44202283
97,certain,-7.648582,-0.0063235695
98,certain,2.2421875,-1.3495501
99,certain,-1.3459704,-1.2158179
100,certain,0.08842949,-1.5372276
101,certain,4.172273,-1.6081592
102,certain,1.4556384,-1.385107
103,certain,4.3310223,-1.8021778
104,certain,4.0084357,2.0572114
105,certain,4.5051713,1.797148
106,certain,3.0268397,2.6263766
107,certain,3.0331147,-2.3423333
108,certain,-0.6386668,-1.8365625
109,certain,1.7315454,-2.1443107
110,certain,-1.6864011,-1.6965089
111,certain,1.878994,-2.1854696
112,certain,1.9948591,-2.1035192
113,certain,3.1510556,-2.217329
114,certain,0.042217277,-1.9315412
115,certain,3.4159822,-2.2944052
116,certain,-0.19873467,-2.107527
117,certain,1.9788862,-2.2779822
118,certain,-5.4078746,-1.6917535
119,certain,0.98098403,-2.255698
120,certain,1.3947891,-1.9877249
121,certain,-1.3423926,0.7677306
122,certain,1.0806979,0.6015638
123,certain,-0.71342045,1.331563
124,certain,0.36473975,0.38184166
125,certain,-1.769076,1.8812367
126,certain,0.37890282,2.0284092
