Example,Label,PC1,PC2
0,certain,-0.13920614,-0.10524477
1,certain,-0.4787444,-0.3273274
2,certain,-0.32033342,-0.17125082
3,certain,-0.6086688,-0.029069373
4,certain,-0.4598623,-0.10649098
5,certain,-0.18468967,-0.61364037
6,certain,-0.06871066,0.057038214
7,certain,-0.35197398,0.008069913
8,certain,-0.5689299,0.21907899
9,certain,-0.30424398,0.02676692
10,certain,0.61441475,0.34841248
11,certain,-0.53177017,0.48233813
12,certain,-0.5587125,-1.2304668
13,certain,0.0022075877,-0.5026976
14,certain,-0.28590217,-0.35841295
15,certain,-0.5199964,-0.7615644
16,certain,-0.11430695,-0.30692402
17,certain,-0.35613823,-0.42164993
18,certain,-0.84033227,0.28822806
19,certain,-0.6994069,0.2551902
20,certain,-0.5815067,-0.036305673
21,certain,0.5891366,0.60542566
22,certain,-0.34731287,-0.17832473
23,certain,-0.09887,-0.008795969
24,certain,-0.2993935,0.17072645
25,certain,0.70894337,0.23489292
26,certain,-0.10937135,0.052963335
27,certain,0.16003644,0.30722332
28,certain,0.5296766,0.33105224
29,certain,-0.3753135,0.3181485
30,certain,-0.37055653,0.50072396
31,certain,-0.028600518,0.36523396
32,certain,-0.14650026,0.32220972
33,certain,-0.23610277,0.30460376
34,certain,-0.22377013,0.18497422
35,certain,0.5362917,0.31972596
36,certain,0.07757907,0.3836224
37,certain,-0.43994278,0.5372447
38,certain,0.05557736,0.068056025
39,certain,-0.42652327,0.1983832
40,certain,-0.14206561,-0.10644962
41,certain,-0.103230335,-0.15679684
42,certain,-0.36279148,0.13678555
43,certain,-0.3390151,-0.011116982
44,certain,-0.14975925,0.09245091
45,certain,-0.72594166,0.24068615
46,certain,0.0033122695,0.20936027
47,certain,0.33131367,-0.37893054
48,certain,-0.38976178,0.28815454
49,certain,-0.41352442,0.43238267
50,certain,-0.3703667,-0.1642656
51,certain,0.84864753,-0.08427721
52,certain,-0.0532939,0.0070534954
53,certain,0.8775816,-0.24690741
54,certain,-0.21891128,-0.3766385
55,certain,-0.3212464,0.21870144
56,certain,-0.13470434,0.15741572
57,certain,-0.26972723,0.08398802
58,certain,-0.6938824,-0.14678688
59,certain,-0.30753857,-0.027315138
60,certain,-0.38562956,0.12359311
61,certain,0.78327185,-0.28701168
62,certain,-0.81631726,0.0041973013
63,certain,-0.57316285,0.28296816
64,certain,-0.025518663,0.16476189
65,certain,-0.6950751,0.2957898
66,certain,-0.61477256,0.57723796
67,certain,-0.2636519,-0.027235828
68,certain,-0.5114613,0.1669411
69,certain,-0.29346967,-0.09815343
70,certain,-0.10973281,-0.0029680973
71,certain,-0.5211256,0.20188877
