Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,0.0,0.05186323821544647,0.07839225977659225,0.10645640641450882
1,0.0,0.08097145706415176,0.12138228118419647,0.16153231263160706
2,0.0,0.1317804455757141,0.1941065937280655,0.2468927502632141
3,0.0,0.1393377184867859,0.2032618671655655,0.2606978118419647
4,0.0,0.19244569540023804,0.32985618710517883,0.4702592194080353
5,0.0,0.23188920319080353,0.3950898051261902,0.5751731395721436
6,0.0,0.24776944518089294,0.42133861780166626,0.61328125
7,0.0,0.28848913311958313,0.4658350944519043,0.6426225304603577
8,0.0,0.2947887182235718,0.47562292218208313,0.6656605005264282
9,0.0,0.317475289106369,0.5108383893966675,0.7245649695396423
10,0.0,0.3489990234375,0.5410008430480957,0.7210138440132141
11,0.0,0.5162020325660706,0.7788381576538086,1.0452769994735718
12,0.0,0.5532744526863098,0.8316317200660706,1.0994318723678589
13,0.0,0.6223292350769043,0.9167850613594055,1.237260341644287
14,0.0,0.7901722192764282,1.1765803098678589,1.5726207494735718
15,0.0,0.9385431408882141,1.4098159074783325,1.8805930614471436
16,0.0,1.06787109375,1.6126154661178589,2.1204721927642822
17,0.0,1.148555874824524,1.779104471206665,2.3532493114471436
18,0.0,1.3699692487716675,2.11338472366333,2.777876377105713
19,0.0,1.5517873764038086,2.393465995788574,3.14453125
20,0.0,2.0597479343414307,3.2555043697357178,4.315340995788574
21,0.0,2.627885341644287,4.1696553230285645,5.555042743682861
22,0.0,3.348336935043335,5.382132053375244,7.224431991577148
23,0.0,4.190252304077148,6.63612699508667,8.801136016845703
