Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,0.0,0.05809657275676727,0.06947093456983566,0.07775567471981049,0.07900489866733551,0.07669229060411453
1,0.0,0.08888695389032364,0.10784175992012024,0.12489433586597443,0.1367461383342743,0.14352881908416748
2,0.0,0.15091820061206818,0.16946841776371002,0.1929285228252411,0.21485298871994019,0.23473958671092987
3,0.0,0.15979398787021637,0.17945915460586548,0.20287495851516724,0.22463378310203552,0.24281564354896545
4,0.0,0.2204599678516388,0.2781095504760742,0.32830286026000977,0.3488525450229645,0.36252617835998535
5,0.0,0.26925548911094666,0.3361873924732208,0.3856850862503052,0.4351753890514374,0.4562050402164459
6,0.0,0.2886463701725006,0.3621431291103363,0.44265124201774597,0.5221508145332336,0.5551580190658569
7,0.0,0.3394419550895691,0.40915313363075256,0.47833842039108276,0.5508987307548523,0.5870547294616699
8,0.0,0.33802950382232666,0.42507898807525635,0.4928516745567322,0.5660815834999084,0.6132586002349854
9,0.0,0.35559773445129395,0.4532477855682373,0.5249089002609253,0.5990828275680542,0.6579347252845764
10,0.0,0.38920217752456665,0.47385111451148987,0.5345629453659058,0.6017380356788635,0.644861102104187
11,0.0,0.5902005434036255,0.6660988926887512,0.7383494973182678,0.7852407097816467,0.8222041726112366
12,0.0,0.6382765173912048,0.717243492603302,0.7893748879432678,0.8251055479049683,0.8567557334899902
13,0.0,0.7087323069572449,0.7940142750740051,0.8767903447151184,0.9125131964683533,0.9506415724754333
14,0.0,0.921070396900177,1.0134220123291016,1.1394883394241333,1.201905608177185,1.287477970123291
15,0.0,1.1018471717834473,1.1963465213775635,1.3514522314071655,1.42870032787323,1.5309460163116455
16,0.0,1.2774475812911987,1.3371812105178833,1.5140079259872437,1.6005859375,1.7179416418075562
17,0.0,1.4039855003356934,1.4713637828826904,1.6628339290618896,1.7597180604934692,1.8839507102966309
18,0.0,1.6192394495010376,1.7246782779693604,1.9519383907318115,2.067472457885742,2.225029706954956
19,0.0,1.8266898393630981,1.9572639465332031,2.2099032402038574,2.312457799911499,2.450376510620117
20,0.0,2.513936758041382,2.6421875953674316,3.003969192504883,3.1733741760253906,3.410266160964966
21,0.0,3.235201358795166,3.3411247730255127,3.794769525527954,4.040408611297607,4.386117458343506
22,0.0,4.166683673858643,4.214924335479736,4.750026226043701,5.056545734405518,5.556058406829834
23,0.0,5.0369038581848145,5.14627742767334,5.720262050628662,6.022593021392822,6.550199031829834
