Layer,certain,fully_manipulated,partially_manipulated
0,0.0,0.07532213628292084,0.07261570543050766
1,0.0,0.11464211344718933,0.1255817860364914
2,0.0,0.19176040589809418,0.19687969982624054
3,0.0,0.20293202996253967,0.20658361911773682
4,0.0,0.3018002212047577,0.31678029894828796
5,0.0,0.36587104201316833,0.38369691371917725
6,0.0,0.38889628648757935,0.45151835680007935
7,0.0,0.438880056142807,0.4891810715198517
8,0.0,0.4414947032928467,0.5094777345657349
9,0.0,0.468827486038208,0.5443421006202698
10,0.0,0.4928702116012573,0.5545594096183777
11,0.0,0.7596486806869507,0.736594557762146
12,0.0,0.8141183257102966,0.7812784314155579
13,0.0,0.90666663646698,0.8650739192962646
14,0.0,1.1961896419525146,1.1365400552749634
15,0.0,1.443520188331604,1.3441379070281982
16,0.0,1.682892084121704,1.5034863948822021
17,0.0,1.8687517642974854,1.6457457542419434
18,0.0,2.152007579803467,1.934126615524292
19,0.0,2.4295735359191895,2.1592001914978027
20,0.0,3.373520612716675,2.9660189151763916
21,0.0,4.351960182189941,3.785522222518921
22,0.0,5.61675500869751,4.780569553375244
23,0.0,6.766613483428955,5.715598106384277
