Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,0.0,0.3030491769313812,0.35437944531440735,0.39220142364501953,0.42117688059806824,0.43982499837875366
1,0.0,0.4609389901161194,0.525837242603302,0.5822202563285828,0.6299857497215271,0.6714999079704285
2,0.0,0.6990349292755127,0.765861988067627,0.8454248309135437,0.8781989216804504,0.8823436498641968
3,0.0,0.8464128375053406,0.9165541529655457,1.0199512243270874,1.0775812864303589,1.0848219394683838
4,0.0,1.0612990856170654,1.1620519161224365,1.302566409111023,1.3995935916900635,1.3716434240341187
5,0.0,1.544670820236206,1.570525050163269,1.8202548027038574,2.1011295318603516,1.9267255067825317
6,0.0,1.62275230884552,1.7232393026351929,2.033271312713623,2.3764779567718506,2.334113836288452
7,0.0,1.7634307146072388,1.9249827861785889,2.2705183029174805,2.68896746635437,2.763542413711548
8,0.0,2.0459301471710205,2.1996381282806396,2.5459036827087402,2.94724440574646,3.060417413711548
9,0.0,2.2634387016296387,2.4822494983673096,2.7958197593688965,3.1187922954559326,3.2581875324249268
10,0.0,2.2840216159820557,2.523632764816284,2.825153350830078,3.1476666927337646,3.3185923099517822
11,0.0,2.526054859161377,2.8539981842041016,3.19921875,3.5661423206329346,3.796344757080078
12,0.0,2.631223201751709,2.9610984325408936,3.3073441982269287,3.6970860958099365,3.9251861572265625
13,0.0,2.863158702850342,3.20790433883667,3.569430351257324,3.8768792152404785,4.116501808166504
14,0.0,3.2022552490234375,3.5810892581939697,3.9084761142730713,4.171632289886475,4.458816051483154
15,0.0,3.321376085281372,3.6470704078674316,4.0234479904174805,4.272708892822266,4.563314914703369
16,0.0,4.1550679206848145,4.440337657928467,4.865969657897949,5.14941930770874,5.592327117919922
17,0.0,4.827480316162109,4.991096019744873,5.473716735839844,5.800506591796875,6.28916597366333
18,0.0,7.883263111114502,7.727240562438965,8.397544860839844,8.730764389038086,9.461118698120117
19,0.0,10.964005470275879,10.792187690734863,11.65158748626709,12.257390022277832,13.61977481842041
20,0.0,15.314397811889648,14.581847190856934,15.840641975402832,16.76374626159668,19.27271270751953
21,0.0,18.236343383789062,16.906709671020508,18.322999954223633,19.19400405883789,22.09333610534668
22,0.0,23.25871467590332,21.342164993286133,23.224231719970703,24.357770919799805,28.37375831604004
23,0.0,27.509252548217773,25.19158935546875,27.237777709960938,28.645734786987305,33.76738357543945
24,0.0,31.340761184692383,28.543428421020508,30.902847290039062,32.52288818359375,38.562808990478516
25,0.0,38.51587677001953,34.970542907714844,37.88008117675781,40.10603713989258,47.83723068237305
26,0.0,45.445533752441406,40.734466552734375,44.12479019165039,46.794342041015625,55.595096588134766
27,0.0,54.71900177001953,47.38157272338867,51.20934295654297,55.149662017822266,66.9097671508789
