Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,0.0,0.015716552734375,0.0274810791015625,0.044158935546875
1,0.0,0.02679443359375,0.047149658203125,0.0738525390625
2,0.0,0.04827880859375,0.084716796875,0.1292724609375
3,0.0,0.0838623046875,0.14404296875,0.2149658203125
4,0.0,0.1434326171875,0.2454833984375,0.361328125
5,0.0,0.158447265625,0.26806640625,0.3974609375
6,0.0,0.1895751953125,0.316650390625,0.46240234375
7,0.0,0.2069091796875,0.344482421875,0.49560546875
8,0.0,0.2509765625,0.412841796875,0.5830078125
9,0.0,0.288818359375,0.46142578125,0.6455078125
10,0.0,0.30859375,0.492431640625,0.68505859375
11,0.0,0.33740234375,0.51025390625,0.6923828125
12,0.0,0.365234375,0.56591796875,0.771484375
13,0.0,0.43603515625,0.67919921875,0.935546875
14,0.0,0.498779296875,0.7861328125,1.10546875
15,0.0,0.564453125,0.88525390625,1.263671875
16,0.0,0.59765625,0.93994140625,1.345703125
17,0.0,0.6611328125,1.0478515625,1.53125
18,0.0,0.74169921875,1.185546875,1.748046875
19,0.0,0.78076171875,1.2509765625,1.8564453125
20,0.0,0.8466796875,1.3583984375,2.013671875
21,0.0,0.93359375,1.4921875,2.189453125
22,0.0,0.99853515625,1.5849609375,2.318359375
23,0.0,1.0693359375,1.703125,2.50390625
24,0.0,1.111328125,1.76953125,2.61328125
25,0.0,1.1748046875,1.869140625,2.759765625
26,0.0,1.2880859375,2.0390625,3.017578125
27,0.0,1.4013671875,2.212890625,3.275390625
28,0.0,1.5703125,2.470703125,3.646484375
29,0.0,1.71484375,2.6953125,3.986328125
30,0.0,1.9404296875,3.0390625,4.5078125
31,0.0,2.369140625,3.69140625,5.48046875
