Layer,certain,not_enough_info
0,0.0,0.0052642822265625
1,0.0,0.0083465576171875
2,0.0,0.016571044921875
3,0.0,0.0321044921875
4,0.0,0.052978515625
5,0.0,0.059478759765625
6,0.0,0.06817626953125
7,0.0,0.081298828125
8,0.0,0.09832763671875
9,0.0,0.1175537109375
10,0.0,0.13330078125
11,0.0,0.1370849609375
12,0.0,0.1778564453125
13,0.0,0.2509765625
14,0.0,0.36181640625
15,0.0,0.55078125
16,0.0,0.587890625
17,0.0,0.80126953125
18,0.0,0.9228515625
19,0.0,1.0048828125
20,0.0,1.130859375
21,0.0,1.2626953125
22,0.0,1.3798828125
23,0.0,1.5146484375
24,0.0,1.5830078125
25,0.0,1.720703125
26,0.0,1.9111328125
27,0.0,2.080078125
28,0.0,2.345703125
29,0.0,2.537109375
30,0.0,2.92578125
31,0.0,3.76953125
