Layer,certain,fully_manipulated,partially_manipulated
0,0.0,0.0277252197265625,0.030487060546875
1,0.0,0.046661376953125,0.050506591796875
2,0.0,0.0787353515625,0.088134765625
3,0.0,0.1328125,0.1451416015625
4,0.0,0.21875,0.2425537109375
5,0.0,0.2423095703125,0.27001953125
6,0.0,0.27734375,0.316650390625
7,0.0,0.31640625,0.342041015625
8,0.0,0.379150390625,0.42041015625
9,0.0,0.43212890625,0.478515625
10,0.0,0.468505859375,0.51025390625
11,0.0,0.4833984375,0.52685546875
12,0.0,0.544921875,0.56591796875
13,0.0,0.68115234375,0.666015625
14,0.0,0.82373046875,0.77783203125
15,0.0,0.98876953125,0.89501953125
16,0.0,1.05859375,0.95849609375
17,0.0,1.2265625,1.0673828125
18,0.0,1.412109375,1.20703125
19,0.0,1.515625,1.271484375
20,0.0,1.658203125,1.3857421875
21,0.0,1.791015625,1.50390625
22,0.0,1.9287109375,1.6005859375
23,0.0,2.109375,1.7265625
24,0.0,2.2109375,1.7998046875
25,0.0,2.36328125,1.9091796875
26,0.0,2.59765625,2.05859375
27,0.0,2.8359375,2.21875
28,0.0,3.18359375,2.470703125
29,0.0,3.484375,2.693359375
30,0.0,3.98828125,3.033203125
31,0.0,4.953125,3.66015625
