Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,0.0,0.0,0.0,0.0
1,0.1713386910860656,0.17078006628787878,0.17014382102272727,0.1690340909090909
2,0.08051571038251366,0.08065518465909091,0.08040364583333333,0.08034446022727272
3,0.0840911031420765,0.08439867424242424,0.08413233901515152,0.08425071022727272
4,0.1209896900614754,0.12082741477272728,0.12005800189393939,0.11905184659090909
5,0.1377380037568306,0.13689630681818182,0.13637843276515152,0.13529829545454544
6,0.10329416410519125,0.1029977509469697,0.10319010416666667,0.10293856534090909
7,0.12456775102459017,0.12443773674242424,0.12495561079545454,0.12548828125
8,0.10142375341530055,0.10171046401515152,0.10233191287878787,0.10311612215909091
9,0.07609449709699453,0.07670454545454546,0.07719282670454546,0.07808061079545454
10,0.11062638746584699,0.11125414299242424,0.11156486742424243,0.11181640625
11,0.157440018784153,0.15740411931818182,0.15647194602272727,0.15474076704545456
12,0.10353430242486339,0.10373757102272728,0.10407788825757576,0.10444779829545454
13,0.09054548753415301,0.09089429450757576,0.0908203125,0.09153053977272728
14,0.09356055754781421,0.09355764678030302,0.09332090435606061,0.09410511363636363
15,0.0812254525273224,0.08186848958333333,0.08173532196969698,0.08274147727272728
16,0.08132951246584699,0.08093631628787878,0.08081794507575757,0.08198686079545454
17,0.07198546362704918,0.07245797821969698,0.07279829545454546,0.07470703125
18,0.03579128244535519,0.035614938446969696,0.035896070075757576,0.03635475852272727
19,0.03435578893442623,0.034224076704545456,0.03444602272727273,0.03440163352272727
20,0.058772519637978145,0.058430989583333336,0.05894886363636364,0.05899325284090909
21,0.03937734801912568,0.03885535037878788,0.039166074810606064,0.039240056818181816
22,0.07232699368169399,0.07239879261363637,0.07304983428030302,0.07350852272727272
23,0.4285641863046448,0.43232125946969696,0.4306344696969697,0.4297762784090909
