Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1713386910860656,0.17067505377024292,0.1714154411764706,0.17219527049731181,0.17275126689189188,0.17290330091059603
2,0.08051571038251366,0.08017499051113361,0.08011833639705883,0.08030913978494623,0.08064030827702702,0.08053730339403974
3,0.0840911031420765,0.08427299468623482,0.08360236672794118,0.08346721690188172,0.08356999577702702,0.08339908423013245
4,0.1209896900614754,0.12087234311740891,0.12111098345588235,0.12163715977822581,0.12235536317567568,0.12274614548841059
5,0.1377380037568306,0.13748181300607287,0.136865234375,0.13712040070564516,0.1379566089527027,0.13809305153145696
6,0.10329416410519125,0.1033910836285425,0.10317095588235294,0.10328986055107527,0.1030933277027027,0.1027330815397351
7,0.12456775102459017,0.12507512019230768,0.12444852941176471,0.1243620841733871,0.12349820523648648,0.12224492963576158
8,0.10142375341530055,0.101807629048583,0.10155675551470589,0.10118710097446236,0.10003431165540541,0.0992342715231788
9,0.07609449709699453,0.07660678137651822,0.07631261488970588,0.07599598874327956,0.07552523226351351,0.07550574296357616
10,0.11062638746584699,0.11131626391700405,0.11200884650735295,0.11193716397849462,0.11147065033783783,0.11119877897350994
11,0.157440018784153,0.1567679339574899,0.15739889705882354,0.15707955309139784,0.15640836148648649,0.1557067466887417
12,0.10353430242486339,0.10383587424089069,0.10430836397058824,0.1041587911626344,0.10437869510135135,0.10426583195364239
13,0.09054548753415301,0.09146476467611336,0.09172506893382353,0.09178899949596774,0.09100770692567567,0.09113721026490067
14,0.09356055754781421,0.09424025809716599,0.09453125,0.09455855174731183,0.09345703125,0.09370472889072848
15,0.0812254525273224,0.08189484754554656,0.08221794577205882,0.08229639196908602,0.08132654138513513,0.08116463162251655
16,0.08132951246584699,0.08188100961538461,0.08249080882352941,0.08323357694892473,0.08298669763513514,0.08336028042218543
17,0.07198546362704918,0.07332521508097166,0.07343175551470588,0.07456264700940861,0.07442198057432432,0.07459708712748345
18,0.03579128244535519,0.035757211538461536,0.03554113051470588,0.03539776545698925,0.03498205236486487,0.034955763658940396
19,0.03435578893442623,0.03425876138663968,0.034357766544117645,0.034547211021505375,0.03426414695945946,0.0337916494205298
20,0.058772519637978145,0.058736082995951414,0.05815142463235294,0.05782195060483871,0.05720280827702703,0.05698015831953642
21,0.03937734801912568,0.03959031819331984,0.04001321231617647,0.03957965809811828,0.03865867820945946,0.03790808671357616
22,0.07232699368169399,0.07291798456477733,0.07283145680147059,0.07289566532258064,0.07271167652027027,0.07215568087748345
23,0.4285641863046448,0.4305177758097166,0.43469956341911764,0.4402301747311828,0.4464790962837838,0.44838446812913907
