Layer,certain,fully_manipulated,partially_manipulated
0,0.0,0.0,0.0
1,0.1713386910860656,0.17000374251497005,0.17230533138736265
2,0.08051571038251366,0.07995239988772455,0.08041831215659341
3,0.0840911031420765,0.08432061657934131,0.08362970037774725
4,0.1209896900614754,0.12034232316616766,0.12208533653846154
5,0.1377380037568306,0.13713393525449102,0.137594973385989
6,0.10329416410519125,0.10343083364520958,0.10301339285714285
7,0.12456775102459017,0.1255116719685629,0.1235346196771978
8,0.10142375341530055,0.10241918506736528,0.10046252575549451
9,0.07609449709699453,0.07713966598053892,0.07579788375686813
10,0.11062638746584699,0.11131058196107785,0.11165328811813187
11,0.157440018784153,0.15585820546407186,0.15670608688186813
12,0.10353430242486339,0.10378169442365269,0.1042716560782967
13,0.09054548753415301,0.09150156717814371,0.09152054000686813
14,0.09356055754781421,0.09429968188622755,0.09428174364697803
15,0.0812254525273224,0.08194645864520958,0.08181769402472527
16,0.08132951246584699,0.08201955464071856,0.08309902987637363
17,0.07198546362704918,0.07387081306137724,0.07427026098901099
18,0.03579128244535519,0.035840428517964075,0.03528073489010989
19,0.03435578893442623,0.03429664109281437,0.03414534684065934
20,0.058772519637978145,0.05907910741017964,0.057510946085164834
21,0.03937734801912568,0.03963557260479042,0.03894338083791209
22,0.07232699368169399,0.0733065119760479,0.07252425309065934
23,0.4285641863046448,0.42939219217814373,0.4419916509271978
