Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,0.0,0.0,0.0,0.0
1,0.0868713712431694,0.08608546401515152,0.08475378787878787,0.08327414772727272
2,0.058017418032786885,0.05769116950757576,0.05874171401515151,0.05837180397727273
3,0.07511793459699453,0.07631983901515152,0.07602391098484848,0.07626065340909091
4,0.07720180157103824,0.07703006628787878,0.07660097064393939,0.07701526988636363
5,0.14678855020491804,0.14729817708333334,0.14799360795454544,0.14697265625
6,0.08809874487704918,0.08794981060606061,0.08774266098484848,0.08744673295454546
7,0.0945557974726776,0.09481534090909091,0.09453420928030302,0.09397194602272728
8,0.12191022028688525,0.12128610321969698,0.12010239109848485,0.11843039772727272
9,0.16353686390027322,0.1635150331439394,0.16424005681818182,0.16392933238636365
10,0.09181021601775956,0.09253669507575757,0.09218158143939394,0.09197443181818182
11,0.08149760928961748,0.08204604640151515,0.08087713068181818,0.07994495738636363
12,0.0940274931693989,0.09485973011363637,0.09333570075757576,0.09157492897727272
13,0.0895662568306011,0.09000651041666667,0.08910392992424243,0.08842329545454546
14,0.08772519637978142,0.08771306818181818,0.08657374526515152,0.08558238636363637
15,0.053873697916666664,0.053888494318181816,0.052852746212121215,0.05211292613636364
16,0.07175866632513661,0.07241358901515152,0.07105232007575757,0.06929154829545454
17,0.05664862961065574,0.056596235795454544,0.055545691287878785,0.05477627840909091
18,0.08007278859289617,0.0810250946969697,0.07921993371212122,0.07790305397727272
19,0.09513212943989072,0.09687204071969698,0.09712357954545454,0.09721235795454546
20,0.08225537909836066,0.08175011837121213,0.08127663352272728,0.08114346590909091
21,0.06875960553278689,0.06720525568181818,0.06693892045454546,0.06707208806818182
22,0.06914382684426229,0.06800426136363637,0.06852213541666667,0.06960227272727272
23,0.0468109631147541,0.045572916666666664,0.0458984375,0.04665305397727273
24,0.039518762807377046,0.037923177083333336,0.038470643939393936,0.03995028409090909
25,0.04404670423497268,0.04464074337121212,0.045158617424242424,0.045365767045454544
26,0.05365757342896175,0.054169625946969696,0.05508700284090909,0.05606356534090909
27,0.5629669356215847,0.5478367660984849,0.5471413352272727,0.5423473011363636
