Layer,certain,fully_manipulated,partially_manipulated
0,0.0,0.0,0.0
1,0.0868713712431694,0.08494339446107785,0.0878412603021978
2,0.058017418032786885,0.05870777975299401,0.05589371565934066
3,0.07511793459699453,0.07554617327844311,0.07507780305631868
4,0.07720180157103824,0.07773905314371257,0.07738774896978022
5,0.14678855020491804,0.14732644086826346,0.14761976304945054
6,0.08809874487704918,0.08765379397455089,0.08856938959478022
7,0.0945557974726776,0.09449850299401198,0.09453607915521978
8,0.12191022028688525,0.12025460797155689,0.12260366586538461
9,0.16353686390027322,0.16362684786676646,0.16512759701236263
10,0.09181021601775956,0.09207463978293413,0.09102581988324175
11,0.08149760928961748,0.08132952844311377,0.08017202524038461
12,0.0940274931693989,0.0932763379491018,0.09353644402472527
13,0.0895662568306011,0.08915372380239521,0.08931522578983517
14,0.08772519637978142,0.08727954247754491,0.08741468492445055
15,0.053873697916666664,0.05337761976047904,0.05365245106456044
16,0.07175866632513661,0.0702481755239521,0.07142535199175824
17,0.05664862961065574,0.05620204902694611,0.0564946771978022
18,0.08007278859289617,0.07671570920658682,0.07729116586538462
19,0.09513212943989072,0.09547214165419161,0.09538332760989011
20,0.08225537909836066,0.08277098147455089,0.07997778588598901
21,0.06875960553278689,0.0689119807260479,0.06451161143543956
22,0.06914382684426229,0.06971018899700598,0.06669009701236264
23,0.0468109631147541,0.04685453312125749,0.04497928828983516
24,0.039518762807377046,0.04032559880239521,0.0368657709478022
25,0.04404670423497268,0.04412659056886228,0.04467290521978022
26,0.05365757342896175,0.05516408589071856,0.05421155992445055
27,0.5629669356215847,0.5512139782934131,0.5555749914148351
