Layer,certain,fully_manipulated,partially_manipulated
0,0.0,0.0,0.0
1,0.22848360655737704,0.22833142309131738,0.2306882082760989
2,0.1714267418032787,0.17278431418413173,0.1731450678228022
3,0.2136964224726776,0.2140104556511976,0.21390796703296702
4,0.3000448258196721,0.30006490924401197,0.2971846025068681
5,0.19294313524590165,0.19368392122005987,0.19125118046016484
6,0.16908139088114754,0.1687874251497006,0.1703387920673077
7,0.19401041666666666,0.19316347773203593,0.19353805374313188
8,0.15398469518442623,0.1543202657185629,0.153420651614011
9,0.18154190146857924,0.18174295939371257,0.1792721926510989
10,0.15326694842896174,0.15357761040419163,0.15167088770604395
11,0.13193199282786885,0.13242070546407186,0.13108795501373627
12,0.12823653090846995,0.1280524887724551,0.12625397063873625
13,0.15390464907786885,0.1547062125748503,0.14987122252747254
14,0.15668758538251365,0.15592837761976047,0.15020604395604395
15,0.13460019637978143,0.13252011601796407,0.13096615298763736
16,0.0987608862704918,0.09834920003742514,0.09581043956043957
17,0.10303801656420765,0.10289577095808383,0.10243228451236264
18,0.07674820696721311,0.07637654378742514,0.07551242702609891
19,0.054380656591530054,0.0549389502245509,0.053958834134615385
20,0.05874850580601093,0.059313014595808386,0.059263392857142855
21,0.053697596482240435,0.054512069610778445,0.05404253949175824
22,0.04934308828551912,0.04960586639221557,0.049683958619505496
23,0.03716273907103825,0.03704505052395209,0.03842022235576923
24,0.028960681352459015,0.029200388285928143,0.029465895432692308
25,0.030852437670765027,0.031095036489520958,0.03118185525412088
26,0.028837943989071038,0.02888461358532934,0.028196364182692307
27,0.026473915642076504,0.026463674214071857,0.02637416294642857
28,0.04253650102459016,0.04256233626497006,0.04362980769230769
29,0.04335563951502732,0.04375818675149701,0.044093406593406596
30,0.07268720116120218,0.07323633982035928,0.07294117015796703
31,0.4530769723360656,0.4488328031437126,0.45447233430631867
max_delta_to_certain,0.0,0.004244169192352987,0.0064815414264697
