Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,11.9296875,11.9296875,11.9296875,11.9296875
1,11.921875,11.921875,11.921875,11.921875
2,11.9140625,11.9140625,11.9140625,11.9140625
3,11.9140625,11.9140625,11.9140625,11.9140625
4,11.9140625,11.9140625,11.9140625,11.9140625
5,11.906548838797814,11.90625,11.906486742424242,11.90625
6,11.91401980874317,11.9140625,11.9140625,11.9140625
7,11.8984375,11.8984375,11.8984375,11.8984375
8,11.90625,11.90625,11.90625,11.90625
9,11.905865778688524,11.905776515151516,11.906013257575758,11.904119318181818
10,11.90629269125683,11.906486742424242,11.90625,11.90625
11,11.904627732240437,11.903409090909092,11.901041666666666,11.902698863636363
12,11.898522882513662,11.8984375,11.8984375,11.8984375
13,11.8984375,11.8984375,11.8984375,11.8984375
14,11.884434767759563,11.884232954545455,11.883285984848484,11.883522727272727
15,11.881190232240437,11.881865530303031,11.880681818181818,11.879261363636363
16,11.874487704918034,11.874053030303031,11.874289772727273,11.874289772727273
17,11.79969262295082,11.798532196969697,11.796638257575758,11.796875
18,11.75576331967213,11.753551136363637,11.753077651515152,11.753551136363637
19,11.71956113387978,11.718276515151516,11.718039772727273,11.71875
20,11.582863729508198,11.581676136363637,11.583333333333334,11.584517045454545
21,11.45316769125683,11.448626893939394,11.449100378787879,11.452414772727273
22,11.135373975409836,11.135416666666666,11.134943181818182,11.135653409090908
23,11.623975409836065,11.632339015151516,11.6328125,11.632102272727273
