Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,11.9296875,11.9296875,11.9296875,11.9296875,11.9296875,11.9296875
1,11.921875,11.921875,11.921875,11.921875,11.921875,11.921875
2,11.9140625,11.9140625,11.9140625,11.9140625,11.9140625,11.9140625
3,11.9140625,11.9140625,11.9140625,11.9140625,11.9140625,11.9140625
4,11.9140625,11.9140625,11.9140625,11.9140625,11.9140625,11.9140625
5,11.906548838797814,11.906692813765183,11.907582720588236,11.908014112903226,11.907685810810811,11.907388245033113
6,11.91401980874317,11.9140625,11.9140625,11.9140625,11.9140625,11.9140625
7,11.8984375,11.8984375,11.8984375,11.8984375,11.8984375,11.8984375
8,11.90625,11.90625,11.906295955882353,11.906292002688172,11.90637668918919,11.906301738410596
9,11.905865778688524,11.905743927125506,11.905744485294118,11.90540994623656,11.905785472972973,11.906198261589404
10,11.90629269125683,11.906313259109313,11.906295955882353,11.90625,11.90629222972973,11.90625
11,11.904627732240437,11.902928896761134,11.903400735294118,11.904527889784946,11.905701013513514,11.906198261589404
12,11.898522882513662,11.898500759109313,11.8984375,11.8984375,11.8984375,11.898540976821192
13,11.8984375,11.8984375,11.8984375,11.8984375,11.8984375,11.8984375
14,11.884434767759563,11.884140941295547,11.88469669117647,11.885584677419354,11.886190878378379,11.884933774834437
15,11.881190232240437,11.880883097165992,11.88125,11.881678427419354,11.882010135135134,11.882657284768213
16,11.874487704918034,11.874652074898785,11.874816176470588,11.874873991935484,11.875,11.875
17,11.79969262295082,11.79886766194332,11.79875919117647,11.800193212365592,11.799451013513513,11.799410182119205
18,11.75576331967213,11.754238360323887,11.754917279411766,11.755376344086022,11.754603040540541,11.75325951986755
19,11.71956113387978,11.718939777327936,11.718841911764706,11.718665994623656,11.717694256756756,11.716059602649006
20,11.582863729508198,11.583280617408906,11.583869485294118,11.585643481182796,11.587119932432433,11.585730546357615
21,11.45316769125683,11.452871963562753,11.45500919117647,11.458207325268818,11.458277027027027,11.455039321192054
22,11.135373975409836,11.13648152834008,11.13795955882353,11.138524865591398,11.136317567567568,11.131312086092715
23,11.623975409836065,11.626170293522268,11.629963235294118,11.632434475806452,11.636148648648648,11.637624172185431
