Layer,certain,fully_manipulated,partially_manipulated
0,11.9296875,11.9296875,11.9296875
1,11.921875,11.921875,11.921875
2,11.9140625,11.9140625,11.9140625
3,11.9140625,11.9140625,11.9140625
4,11.9140625,11.9140625,11.9140625
5,11.906548838797814,11.90648390718563,11.90756353021978
6,11.91401980874317,11.9140625,11.9140625
7,11.8984375,11.8984375,11.8984375
8,11.90625,11.90625,11.906310096153845
9,11.905865778688524,11.90559505988024,11.905837912087913
10,11.90629269125683,11.90625,11.906292925824175
11,11.904627732240437,11.902039670658683,11.905065247252747
12,11.898522882513662,11.898577844311378,11.898446085164835
13,11.8984375,11.8984375,11.8984375
14,11.884434767759563,11.883654565868264,11.885310782967032
15,11.881190232240437,11.880473428143713,11.881996909340659
16,11.874487704918034,11.87476609281437,11.874905563186813
17,11.79969262295082,11.798465568862275,11.79948489010989
18,11.75576331967213,11.75406998502994,11.754361263736264
19,11.71956113387978,11.719217814371257,11.717487980769231
20,11.582863729508198,11.58472118263473,11.584804258241759
21,11.45316769125683,11.453686377245509,11.455194024725275
22,11.135373975409836,11.135712949101796,11.134778502747253
23,11.623975409836065,11.625093562874252,11.633267513736264
