Layer,certain,not_enough_info
0,11.891991120218579,11.891478242320819
1,11.81950136612022,11.818232721843003
2,11.72088456284153,11.719976535836178
3,11.732795423497267,11.730908703071673
4,11.62213968579235,11.61942726109215
5,11.033726092896174,11.033943046075086
6,10.946465163934427,10.948378839590443
7,10.762167008196721,10.764398464163822
8,11.266094603825136,11.266664889078498
9,10.000640368852459,9.999413395904437
10,10.357496584699453,10.357641851535837
11,9.572703210382514,9.572925554607508
12,9.567751024590164,9.572312286689419
13,8.218002903005464,8.2203631612628
14,6.162418886612022,6.162955951365188
15,7.2609289617486334,7.251653156996587
16,7.591167178961749,7.530050127986348
17,6.588136099726776,6.548621480375426
18,6.1946934767759565,5.924674701365188
19,5.456284153005464,5.346536369453925
20,3.6648736338797816,3.788795861774744
21,1.9717490607923498,1.7502533063139931
22,1.1407744193989071,0.9977877359748294
23,0.7673433230874317,0.5941728715603669
24,0.4737030196059597,0.3619369663069273
25,0.3163076098499402,0.21903254798654812
26,0.5137429576102501,0.14906787546828337
27,0.25681954785122896,0.41632080566354174
