Layer,certain,manipulated_1,manipulated_2,manipulated_3,delta_manipulated_1,delta_manipulated_2,delta_manipulated_3
0,11.734375,11.734375,11.734375,11.734375,0.0,0.0,0.0
1,11.734375,11.734375,11.734375,11.734375,0.0,0.0,0.0
2,11.734375,11.734375,11.734375,11.734375,0.0,0.0,0.0
3,11.734375,11.734375,11.734375,11.734375,0.0,0.0,0.0
4,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0
5,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0
6,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0
7,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0
8,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0
9,11.746243169398907,11.745975378787879,11.745501893939394,11.745028409090908,-0.000267790611028218,-0.0007412754595126358,-0.00121476030799883
10,11.75,11.75,11.75,11.75,0.0,0.0,0.0
11,11.75,11.75,11.75,11.75,0.0,0.0,0.0
12,11.75,11.75,11.75,11.75,0.0,0.0,0.0
13,11.75,11.75,11.75,11.75,0.0,0.0,0.0
14,11.75,11.75,11.75,11.75,0.0,0.0,0.0
15,11.75,11.75,11.75,11.75,0.0,0.0,0.0
16,11.75,11.75,11.75,11.75,0.0,0.0,0.0
17,11.745432035519126,11.745265151515152,11.74408143939394,11.746448863636363,-0.0001668840039741326,-0.0013505961251869536,0.001016828117236912
18,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0
19,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0
20,11.734972677595628,11.734848484848484,11.734611742424242,11.735085227272727,-0.00012419274714403628,-0.0003609351713862452,0.00011254967709817265
21,11.72660519125683,11.7265625,11.7265625,11.7265625,-4.2691256830096336e-05,-4.2691256830096336e-05,-4.2691256830096336e-05
22,11.718664617486338,11.71875,11.71875,11.71875,8.538251366196903e-05,8.538251366196903e-05,8.538251366196903e-05
23,11.70952868852459,11.709753787878787,11.709280303030303,11.708096590909092,0.0002250993541963453,-0.00024838549428807255,-0.0014320976154991172
24,11.69526980874317,11.6953125,11.695075757575758,11.6953125,4.2691256830096336e-05,-0.0001940511674121126,4.2691256830096336e-05
25,11.670252732240437,11.66998106060606,11.669034090909092,11.666903409090908,-0.0002716716343762471,-0.0012186413313450828,-0.003349323149528516
26,11.639088114754099,11.639204545454545,11.638494318181818,11.638494318181818,0.00011643070044620174,-0.000593796572280425,-0.000593796572280425
27,11.607923497267759,11.60748106060606,11.608191287878787,11.608664772727273,-0.0004424366616984088,0.000267790611028218,0.0007412754595144122
28,11.581070696721312,11.581202651515152,11.581439393939394,11.580965909090908,0.00013195479384009445,0.0003686972180823034,-0.00010478763040389083
29,11.545807718579235,11.544507575757576,11.544270833333334,11.541903409090908,-0.0013001428216590227,-0.0015368852459012317,-0.0039043094883268736
30,11.505934084699453,11.505445075757576,11.506628787878787,11.507102272727273,-0.0004890089418765342,0.0006947031793345104,0.0011681880278207046
31,11.558828551912569,11.559659090909092,11.556818181818182,11.552556818181818,0.000830538996522634,-0.002010370094387426,-0.006271733730750739
max_delta_to_certain,0.0,0.0013001428216590227,0.002010370094387426,0.006271733730750739
