Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5,delta_manipulated_1,delta_manipulated_2,delta_manipulated_3,delta_manipulated_4,delta_manipulated_5
0,11.734375,11.734375,11.734375,11.734375,11.734375,11.734375,0.0,0.0,0.0,0.0,0.0
1,11.734375,11.734375,11.734375,11.734375,11.734375,11.734375,0.0,0.0,0.0,0.0,0.0
2,11.734375,11.734375,11.734375,11.734375,11.734375,11.734375,0.0,0.0,0.0,0.0,0.0
3,11.734375,11.734375,11.734375,11.734375,11.734375,11.734375,0.0,0.0,0.0,0.0,0.0
4,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0,0.0,0.0
5,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0,0.0,0.0
6,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0,0.0,0.0
7,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0,0.0,0.0
8,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0,0.0,0.0
9,11.746243169398907,11.746584008097166,11.74673713235294,11.747395833333334,11.747550675675676,11.746688741721854,0.0003408386982588496,0.0004939629540334778,0.001152663934426812,0.0013075062767686774,0.0004455723229472852
10,11.75,11.75,11.75,11.75,11.75,11.75,0.0,0.0,0.0,0.0,0.0
11,11.75,11.75,11.75,11.75,11.75,11.75,0.0,0.0,0.0,0.0,0.0
12,11.75,11.75,11.75,11.75,11.75,11.75,0.0,0.0,0.0,0.0,0.0
13,11.75,11.75,11.75,11.75,11.75,11.75,0.0,0.0,0.0,0.0,0.0
14,11.75,11.75,11.75,11.75,11.75,11.75,0.0,0.0,0.0,0.0,0.0
15,11.75,11.75,11.75,11.75,11.75,11.75,0.0,0.0,0.0,0.0,0.0
16,11.75,11.75,11.75,11.75,11.75,11.75,0.0,0.0,0.0,0.0,0.0
17,11.745432035519126,11.745318825910932,11.745174632352942,11.745337701612904,11.74527027027027,11.744877897350994,-0.00011320960819460879,-0.00025740316618438897,-9.433390622248794e-05,-0.0001617652488565824,-0.0005541381681322122
18,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,11.7421875,0.0,0.0,0.0,0.0,0.0
19,11.7421875,11.742060981781377,11.7421875,11.7421875,11.7421875,11.7421875,-0.00012651821862341706,0.0,0.0,0.0,0.0
20,11.734972677595628,11.735039220647772,11.734604779411764,11.734543010752688,11.73445945945946,11.734426738410596,6.654305214404133e-05,-0.00036789818386395723,-0.0004296668429404349,-0.0005132181361684474,-0.0005459391850326512
21,11.72660519125683,11.726625759109313,11.7265625,11.7265625,11.7265625,11.7265625,2.056785248250037e-05,-4.2691256830096336e-05,-4.2691256830096336e-05,-4.2691256830096336e-05,-4.2691256830096336e-05
22,11.718664617486338,11.718623481781377,11.718566176470588,11.718623991935484,11.71862331081081,11.718646523178808,-4.113570496144803e-05,-9.844101574962849e-05,-4.06255508540454e-05,-4.130667552715295e-05,-1.809430752963692e-05
23,11.70952868852459,11.709577429149798,11.709237132352941,11.709131384408602,11.70924831081081,11.708609271523178,4.874062520698885e-05,-0.0002915561716498871,-0.0003973041159888169,-0.00028037771378031096,-0.0009194170014126257
24,11.69526980874317,11.695249240890687,11.695174632352941,11.695228494623656,11.695059121621622,11.695209023178808,-2.056785248250037e-05,-9.51763902286018e-05,-4.131411951391328e-05,-0.00021068712154814762,-6.0785564361509614e-05
25,11.670252732240437,11.669819078947368,11.669577205882353,11.669438844086022,11.669763513513514,11.66913286423841,-0.00043365329306865874,-0.0006755263580835447,-0.0008138881544148546,-0.0004892187269227577,-0.0011198680020267915
26,11.639088114754099,11.639739372469636,11.638511029411765,11.638440860215054,11.638597972972972,11.638193294701987,0.0006512577155373123,-0.0005770853423339162,-0.0006472545390447948,-0.0004901417811264963,-0.0008948200521121663
27,11.607923497267759,11.608394483805668,11.606801470588236,11.605972782258064,11.606545608108108,11.605960264900663,0.0004709865379091127,-0.0011220266795231026,-0.0019507150096949033,-0.001377889159650536,-0.0019632323670961682
28,11.581070696721312,11.58119306680162,11.578860294117646,11.577956989247312,11.57816722972973,11.577711092715232,0.00012237008030702157,-0.0022104026036657842,-0.0031137074740001935,-0.002903466991583059,-0.0033596040060803745
29,11.545807718579235,11.545704706477732,11.541452205882353,11.541162634408602,11.542609797297297,11.54309809602649,-0.00010301210150309714,-0.004355512696882613,-0.00464508417063314,-0.0031979212819379654,-0.0027096225527447615
30,11.505934084699453,11.507338056680162,11.502987132352942,11.503234206989248,11.504814189189188,11.505173841059603,0.0014039719807090734,-0.002946952346510656,-0.0026998777102047455,-0.0011198955102642572,-0.0007602436398492785
31,11.558828551912569,11.557850455465587,11.554825367647059,11.55220934139785,11.551393581081081,11.550962334437086,-0.0009780964469818798,-0.004003184265510384,-0.006619210514719143,-0.00743497083148803,-0.007866217475482884
max_delta_to_certain,0.0,0.0014039719807090734,0.004355512696882613,0.006619210514719143,0.00743497083148803,0.007866217475482884
