Layer,certain,not_enough_info,delta_not_enough_info
0,11.734375,11.734375,0.0
1,11.734375,11.734375,0.0
2,11.734375,11.734375,0.0
3,11.734375,11.734375,0.0
4,11.7421875,11.7421875,0.0
5,11.7421875,11.7421875,0.0
6,11.7421875,11.7421875,0.0
7,11.7421875,11.7421875,0.0
8,11.7421875,11.7421875,0.0
9,11.74436475409836,11.744773890784982,0.0004091366866223467
10,11.75,11.75,0.0
11,11.75,11.75,0.0
12,11.75,11.75,0.0
13,11.75,11.75,0.0
14,11.75,11.75,0.0
15,11.75,11.75,0.0
16,11.75,11.75,0.0
17,11.748078893442623,11.748293515358363,0.00021462191573995426
18,11.7421875,11.7421875,0.0
19,11.7421875,11.7421875,0.0
20,11.73727800546448,11.737841296928327,0.0005632914638464825
21,11.726818647540984,11.726882465870307,6.381832932333964e-05
22,11.718664617486338,11.718696672354948,3.205486861013185e-05
23,11.7088456284153,11.709524317406144,0.0006786889908436677
24,11.694928278688524,11.69512585324232,0.00019757455379654232
25,11.670508879781421,11.670595136518772,8.625673735096484e-05
26,11.640240778688524,11.639638438566553,-0.0006023401219703572
27,11.608222336065573,11.608148464163822,-7.387190175123237e-05
28,11.582009904371585,11.580951365187714,-0.001058539183871332
29,11.545935792349727,11.544848549488055,-0.0010872428616721663
30,11.505464480874316,11.507305887372013,0.001841406497696596
31,11.562286543715848,11.561966723549489,-0.00031982016635900834
max_delta_to_certain,0.0,0.001841406497696596
