Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,tensor(4.8555),tensor(4.8086),tensor(4.8359),tensor(4.8633)
1,tensor(4.9922),tensor(4.9414),tensor(4.9648),tensor(4.9805)
2,tensor(4.9922),tensor(4.9414),tensor(4.9688),tensor(4.9961)
3,tensor(5.0273),tensor(4.9883),tensor(5.0117),tensor(5.0391)
4,tensor(5.0664),tensor(5.0156),tensor(5.0352),tensor(5.0508)
5,tensor(5.1328),tensor(5.0859),tensor(5.1094),tensor(5.1328)
6,tensor(4.9883),tensor(4.9531),tensor(4.9883),tensor(5.0234)
7,tensor(5.2617),tensor(5.2148),tensor(5.2383),tensor(5.2656)
8,tensor(5.3711),tensor(5.3164),tensor(5.3438),tensor(5.3750)
9,tensor(5.1172),tensor(5.0820),tensor(5.1211),tensor(5.1562)
10,tensor(5.2695),tensor(5.2461),tensor(5.2695),tensor(5.2891)
11,tensor(5.4844),tensor(5.4492),tensor(5.4844),tensor(5.5234)
12,tensor(5.3789),tensor(5.3086),tensor(5.3398),tensor(5.3711)
13,tensor(5.4570),tensor(5.4180),tensor(5.4453),tensor(5.4688)
14,tensor(5.6211),tensor(5.5586),tensor(5.5742),tensor(5.5938)
15,tensor(5.5352),tensor(5.4766),tensor(5.5156),tensor(5.5625)
16,tensor(5.1562),tensor(5.1016),tensor(5.1250),tensor(5.1562)
17,tensor(6.0977),tensor(6.0625),tensor(6.0820),tensor(6.1133)
18,tensor(5.3008),tensor(5.2188),tensor(5.2422),tensor(5.2695)
19,tensor(5.4141),tensor(5.3555),tensor(5.3867),tensor(5.4219)
20,tensor(7.0195),tensor(6.9688),tensor(7.0234),tensor(7.0664)
21,tensor(6.0508),tensor(5.9727),tensor(5.9922),tensor(6.0156)
22,tensor(7.5312),tensor(7.5352),tensor(7.5859),tensor(7.6641)
23,tensor(0.),tensor(0.),tensor(0.),tensor(0.)
