Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,tensor(4.8555),tensor(4.8516),tensor(4.8789),tensor(4.8906),tensor(4.8828),tensor(4.8789)
1,tensor(4.9922),tensor(4.9844),tensor(5.0039),tensor(5.0078),tensor(4.9883),tensor(4.9805)
2,tensor(4.9922),tensor(4.9883),tensor(5.0195),tensor(5.0352),tensor(5.0312),tensor(5.0312)
3,tensor(5.0273),tensor(5.0234),tensor(5.0547),tensor(5.0703),tensor(5.0703),tensor(5.0664)
4,tensor(5.0664),tensor(5.0586),tensor(5.0820),tensor(5.0898),tensor(5.0781),tensor(5.0664)
5,tensor(5.1328),tensor(5.1328),tensor(5.1562),tensor(5.1680),tensor(5.1523),tensor(5.1445)
6,tensor(4.9883),tensor(4.9922),tensor(5.0195),tensor(5.0312),tensor(5.0234),tensor(5.0234)
7,tensor(5.2617),tensor(5.2539),tensor(5.2695),tensor(5.2812),tensor(5.2734),tensor(5.2617)
8,tensor(5.3711),tensor(5.3594),tensor(5.3750),tensor(5.3789),tensor(5.3555),tensor(5.3477)
9,tensor(5.1172),tensor(5.1289),tensor(5.1680),tensor(5.1719),tensor(5.1484),tensor(5.1328)
10,tensor(5.2695),tensor(5.2734),tensor(5.2969),tensor(5.3086),tensor(5.3008),tensor(5.2930)
11,tensor(5.4844),tensor(5.4883),tensor(5.5117),tensor(5.5117),tensor(5.5039),tensor(5.5039)
12,tensor(5.3789),tensor(5.3672),tensor(5.3789),tensor(5.3789),tensor(5.3633),tensor(5.3477)
13,tensor(5.4570),tensor(5.4531),tensor(5.4648),tensor(5.4609),tensor(5.4336),tensor(5.4297)
14,tensor(5.6211),tensor(5.6016),tensor(5.6328),tensor(5.6641),tensor(5.6523),tensor(5.6562)
15,tensor(5.5352),tensor(5.5391),tensor(5.5430),tensor(5.5547),tensor(5.5391),tensor(5.5391)
16,tensor(5.1562),tensor(5.1445),tensor(5.1797),tensor(5.2031),tensor(5.1914),tensor(5.1836)
17,tensor(6.0977),tensor(6.0898),tensor(6.1055),tensor(6.1133),tensor(6.1016),tensor(6.0977)
18,tensor(5.3008),tensor(5.2852),tensor(5.3008),tensor(5.3164),tensor(5.2930),tensor(5.2891)
19,tensor(5.4141),tensor(5.4062),tensor(5.4102),tensor(5.4023),tensor(5.3672),tensor(5.3555)
20,tensor(7.0195),tensor(7.0273),tensor(7.0312),tensor(6.9961),tensor(6.9453),tensor(6.9219)
21,tensor(6.0508),tensor(6.0430),tensor(6.0586),tensor(6.0469),tensor(6.0039),tensor(5.9805)
22,tensor(7.5312),tensor(7.5742),tensor(7.6758),tensor(7.7031),tensor(7.6641),tensor(7.6133)
23,tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.)
