Layer,certain,not_enough_info
0,tensor(4.9102),tensor(4.8984)
1,tensor(5.0508),tensor(5.0312)
2,tensor(5.0508),tensor(5.0312)
3,tensor(5.0820),tensor(5.0664)
4,tensor(5.1172),tensor(5.1055)
5,tensor(5.1836),tensor(5.1719)
6,tensor(5.0312),tensor(5.0234)
7,tensor(5.3164),tensor(5.3047)
8,tensor(5.4414),tensor(5.4219)
9,tensor(5.1797),tensor(5.1641)
10,tensor(5.3047),tensor(5.3125)
11,tensor(5.5664),tensor(5.5547)
12,tensor(5.4219),tensor(5.4023)
13,tensor(5.4922),tensor(5.4883)
14,tensor(5.6523),tensor(5.6406)
15,tensor(5.6211),tensor(5.6016)
16,tensor(5.2227),tensor(5.2070)
17,tensor(6.1562),tensor(6.1562)
18,tensor(5.3828),tensor(5.3516)
19,tensor(5.4844),tensor(5.4688)
20,tensor(7.0820),tensor(7.0703)
21,tensor(6.1562),tensor(6.1641)
22,tensor(7.6250),tensor(7.6328)
23,tensor(0.),tensor(0.)
