Layer,certain,fully_manipulated,partially_manipulated
0,tensor(4.8555),tensor(4.8672),tensor(4.8828)
1,tensor(4.9922),tensor(4.9961),tensor(4.9961)
2,tensor(4.9922),tensor(5.0039),tensor(5.0273)
3,tensor(5.0273),tensor(5.0391),tensor(5.0664)
4,tensor(5.0664),tensor(5.0703),tensor(5.0781)
5,tensor(5.1328),tensor(5.1445),tensor(5.1523)
6,tensor(4.9883),tensor(5.0117),tensor(5.0234)
7,tensor(5.2617),tensor(5.2734),tensor(5.2734)
8,tensor(5.3711),tensor(5.3789),tensor(5.3633)
9,tensor(5.1172),tensor(5.1445),tensor(5.1523)
10,tensor(5.2695),tensor(5.2852),tensor(5.3008)
11,tensor(5.4844),tensor(5.5117),tensor(5.5078)
12,tensor(5.3789),tensor(5.3828),tensor(5.3633)
13,tensor(5.4570),tensor(5.4688),tensor(5.4492)
14,tensor(5.6211),tensor(5.6094),tensor(5.6523)
15,tensor(5.5352),tensor(5.5703),tensor(5.5430)
16,tensor(5.1562),tensor(5.1602),tensor(5.1875)
17,tensor(6.0977),tensor(6.1094),tensor(6.1055)
18,tensor(5.3008),tensor(5.3008),tensor(5.3008)
19,tensor(5.4141),tensor(5.4258),tensor(5.3828)
20,tensor(7.0195),tensor(7.0469),tensor(6.9727)
21,tensor(6.0508),tensor(6.0625),tensor(6.0234)
22,tensor(7.5312),tensor(7.5742),tensor(7.6484)
23,tensor(0.),tensor(0.),tensor(0.)
