Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,tensor(9.8750),tensor(9.6641),tensor(9.8125),tensor(9.9766)
1,tensor(9.8516),tensor(9.6328),tensor(9.7734),tensor(9.9453)
2,tensor(9.8750),tensor(9.6562),tensor(9.7969),tensor(9.9609)
3,tensor(9.8359),tensor(9.6094),tensor(9.7578),tensor(9.9219)
4,tensor(9.8828),tensor(9.6641),tensor(9.8047),tensor(9.9688)
5,tensor(10.0625),tensor(9.8281),tensor(9.9688),tensor(10.1328)
6,tensor(9.9688),tensor(9.7422),tensor(9.8828),tensor(10.0469)
7,tensor(10.0625),tensor(9.8438),tensor(9.9922),tensor(10.1641)
8,tensor(10.0469),tensor(9.8281),tensor(9.9766),tensor(10.1406)
9,tensor(10.7656),tensor(10.5312),tensor(10.6562),tensor(10.7969)
10,tensor(10.0703),tensor(9.8359),tensor(9.9766),tensor(10.1328)
11,tensor(10.1172),tensor(9.8984),tensor(10.0469),tensor(10.2109)
12,tensor(10.3828),tensor(10.1797),tensor(10.3125),tensor(10.4688)
13,tensor(10.3984),tensor(10.1797),tensor(10.3047),tensor(10.4453)
14,tensor(10.6406),tensor(10.4219),tensor(10.5391),tensor(10.6719)
15,tensor(10.2266),tensor(10.0156),tensor(10.1562),tensor(10.3125)
16,tensor(10.9453),tensor(10.7578),tensor(10.8438),tensor(10.9609)
17,tensor(10.4297),tensor(10.2266),tensor(10.3438),tensor(10.4766)
18,tensor(10.6953),tensor(10.5234),tensor(10.6328),tensor(10.7500)
19,tensor(11.1094),tensor(10.8906),tensor(11.0156),tensor(11.1641)
20,tensor(11.2031),tensor(11.0391),tensor(11.1484),tensor(11.2969)
21,tensor(10.9609),tensor(10.7109),tensor(10.8281),tensor(10.9844)
22,tensor(10.6953),tensor(10.4766),tensor(10.6016),tensor(10.7656)
23,tensor(10.8594),tensor(10.5938),tensor(10.7109),tensor(10.8672)
24,tensor(10.8828),tensor(10.6094),tensor(10.7422),tensor(10.9062)
25,tensor(12.2578),tensor(12.0938),tensor(12.2031),tensor(12.3594)
26,tensor(12.0703),tensor(11.7578),tensor(11.9844),tensor(12.2500)
27,tensor(0.),tensor(0.),tensor(0.),tensor(0.)
