Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,tensor(9.8750),tensor(9.8750),tensor(9.6328),tensor(9.5703),tensor(9.5703),tensor(9.6094)
1,tensor(9.8516),tensor(9.8438),tensor(9.6016),tensor(9.5469),tensor(9.5469),tensor(9.5859)
2,tensor(9.8750),tensor(9.8750),tensor(9.6250),tensor(9.5625),tensor(9.5625),tensor(9.6016)
3,tensor(9.8359),tensor(9.8281),tensor(9.5859),tensor(9.5391),tensor(9.5312),tensor(9.5703)
4,tensor(9.8828),tensor(9.8750),tensor(9.6406),tensor(9.5781),tensor(9.5781),tensor(9.6172)
5,tensor(10.0625),tensor(10.0547),tensor(9.8047),tensor(9.7500),tensor(9.7578),tensor(9.7969)
6,tensor(9.9688),tensor(9.9609),tensor(9.7188),tensor(9.6641),tensor(9.6641),tensor(9.6953)
7,tensor(10.0625),tensor(10.0625),tensor(9.8281),tensor(9.7734),tensor(9.7656),tensor(9.8047)
8,tensor(10.0469),tensor(10.0469),tensor(9.8047),tensor(9.7500),tensor(9.7578),tensor(9.7969)
9,tensor(10.7656),tensor(10.7500),tensor(10.5469),tensor(10.5156),tensor(10.5312),tensor(10.5781)
10,tensor(10.0703),tensor(10.0625),tensor(9.8281),tensor(9.7812),tensor(9.7969),tensor(9.8359)
11,tensor(10.1172),tensor(10.1172),tensor(9.8750),tensor(9.8203),tensor(9.8203),tensor(9.8516)
12,tensor(10.3828),tensor(10.3828),tensor(10.1641),tensor(10.1094),tensor(10.1094),tensor(10.1406)
13,tensor(10.3984),tensor(10.3828),tensor(10.1641),tensor(10.1094),tensor(10.1016),tensor(10.1406)
14,tensor(10.6406),tensor(10.6250),tensor(10.3984),tensor(10.3438),tensor(10.3438),tensor(10.4062)
15,tensor(10.2266),tensor(10.2266),tensor(9.9844),tensor(9.9297),tensor(9.9297),tensor(9.9531)
16,tensor(10.9453),tensor(10.9297),tensor(10.7422),tensor(10.7031),tensor(10.7031),tensor(10.7344)
17,tensor(10.4297),tensor(10.4219),tensor(10.1875),tensor(10.1406),tensor(10.1328),tensor(10.1484)
18,tensor(10.6953),tensor(10.6797),tensor(10.4688),tensor(10.4141),tensor(10.3984),tensor(10.4219)
19,tensor(11.1094),tensor(11.0703),tensor(10.8672),tensor(10.8281),tensor(10.8359),tensor(10.8672)
20,tensor(11.2031),tensor(11.2188),tensor(11.0469),tensor(11.0078),tensor(11.),tensor(11.0156)
21,tensor(10.9609),tensor(10.9297),tensor(10.6875),tensor(10.6328),tensor(10.6172),tensor(10.6484)
22,tensor(10.6953),tensor(10.6562),tensor(10.4219),tensor(10.3359),tensor(10.3203),tensor(10.3281)
23,tensor(10.8594),tensor(10.7812),tensor(10.5703),tensor(10.4922),tensor(10.5000),tensor(10.5234)
24,tensor(10.8828),tensor(10.8594),tensor(10.5625),tensor(10.5234),tensor(10.5547),tensor(10.6641)
25,tensor(12.2578),tensor(12.2500),tensor(12.0469),tensor(11.9766),tensor(11.9297),tensor(11.9297)
26,tensor(12.0703),tensor(12.),tensor(11.6641),tensor(11.5469),tensor(11.5312),tensor(11.5391)
27,tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.)
