Layer,certain,not_enough_info
0,tensor(9.8438),tensor(9.8125)
1,tensor(9.8203),tensor(9.7656)
2,tensor(9.8438),tensor(9.7969)
3,tensor(9.8047),tensor(9.7578)
4,tensor(9.8438),tensor(9.8047)
5,tensor(10.0469),tensor(10.0078)
6,tensor(9.9297),tensor(9.8906)
7,tensor(10.0312),tensor(9.9922)
8,tensor(10.0156),tensor(9.9766)
9,tensor(10.7031),tensor(10.6562)
10,tensor(10.0234),tensor(9.9531)
11,tensor(10.0938),tensor(10.0938)
12,tensor(10.3438),tensor(10.2969)
13,tensor(10.3750),tensor(10.3125)
14,tensor(10.6250),tensor(10.5391)
15,tensor(10.2266),tensor(10.1641)
16,tensor(10.8984),tensor(10.8594)
17,tensor(10.5156),tensor(10.4219)
18,tensor(10.7344),tensor(10.7031)
19,tensor(11.1406),tensor(11.1719)
20,tensor(11.1719),tensor(11.2188)
21,tensor(11.),tensor(10.9141)
22,tensor(10.7812),tensor(10.5469)
23,tensor(11.0781),tensor(10.8125)
24,tensor(11.0078),tensor(10.7656)
25,tensor(12.3359),tensor(12.2344)
26,tensor(12.0938),tensor(11.9609)
27,tensor(0.),tensor(0.)
