Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,tensor(1.2344),tensor(1.2334),tensor(1.2373),tensor(1.2432),tensor(1.2461),tensor(1.2480)
1,tensor(1.2334),tensor(1.2324),tensor(1.2363),tensor(1.2422),tensor(1.2451),tensor(1.2471)
2,tensor(1.2324),tensor(1.2324),tensor(1.2363),tensor(1.2412),tensor(1.2441),tensor(1.2461)
3,tensor(1.2637),tensor(1.2627),tensor(1.2666),tensor(1.2715),tensor(1.2744),tensor(1.2764)
4,tensor(1.3652),tensor(1.3652),tensor(1.3691),tensor(1.3740),tensor(1.3740),tensor(1.3750)
5,tensor(1.3271),tensor(1.3262),tensor(1.3291),tensor(1.3330),tensor(1.3359),tensor(1.3379)
6,tensor(1.3906),tensor(1.3916),tensor(1.3975),tensor(1.4033),tensor(1.4053),tensor(1.4072)
7,tensor(1.5762),tensor(1.5732),tensor(1.5781),tensor(1.5830),tensor(1.5869),tensor(1.5879)
8,tensor(1.5166),tensor(1.5156),tensor(1.5195),tensor(1.5244),tensor(1.5283),tensor(1.5322)
9,tensor(1.6729),tensor(1.6719),tensor(1.6729),tensor(1.6738),tensor(1.6758),tensor(1.6787)
10,tensor(1.6699),tensor(1.6660),tensor(1.6709),tensor(1.6768),tensor(1.6797),tensor(1.6826)
11,tensor(1.6064),tensor(1.6035),tensor(1.6094),tensor(1.6143),tensor(1.6133),tensor(1.6113)
12,tensor(1.5566),tensor(1.5557),tensor(1.5645),tensor(1.5713),tensor(1.5732),tensor(1.5703)
13,tensor(1.8232),tensor(1.8154),tensor(1.8135),tensor(1.8125),tensor(1.8105),tensor(1.8047)
14,tensor(1.7881),tensor(1.7744),tensor(1.7656),tensor(1.7695),tensor(1.7686),tensor(1.7686)
15,tensor(1.7100),tensor(1.7002),tensor(1.7021),tensor(1.7100),tensor(1.7109),tensor(1.7119)
16,tensor(1.5254),tensor(1.5244),tensor(1.5215),tensor(1.5283),tensor(1.5303),tensor(1.5322)
17,tensor(1.4932),tensor(1.4902),tensor(1.4951),tensor(1.5010),tensor(1.5029),tensor(1.5039)
18,tensor(1.4443),tensor(1.4375),tensor(1.4404),tensor(1.4443),tensor(1.4453),tensor(1.4473)
19,tensor(1.4053),tensor(1.3975),tensor(1.4023),tensor(1.4062),tensor(1.4072),tensor(1.4092)
20,tensor(1.3633),tensor(1.3604),tensor(1.3633),tensor(1.3682),tensor(1.3711),tensor(1.3740)
21,tensor(1.4229),tensor(1.4199),tensor(1.4199),tensor(1.4258),tensor(1.4258),tensor(1.4287)
22,tensor(1.4551),tensor(1.4512),tensor(1.4521),tensor(1.4580),tensor(1.4619),tensor(1.4648)
23,tensor(1.3320),tensor(1.3301),tensor(1.3359),tensor(1.3408),tensor(1.3428),tensor(1.3438)
24,tensor(1.2764),tensor(1.2725),tensor(1.2754),tensor(1.2803),tensor(1.2832),tensor(1.2852)
25,tensor(1.3477),tensor(1.3467),tensor(1.3496),tensor(1.3555),tensor(1.3574),tensor(1.3594)
26,tensor(1.4570),tensor(1.4561),tensor(1.4551),tensor(1.4609),tensor(1.4648),tensor(1.4678)
27,tensor(1.4277),tensor(1.4229),tensor(1.4248),tensor(1.4326),tensor(1.4365),tensor(1.4385)
28,tensor(1.5879),tensor(1.5859),tensor(1.5869),tensor(1.5908),tensor(1.5928),tensor(1.5977)
29,tensor(1.4990),tensor(1.4941),tensor(1.5029),tensor(1.5117),tensor(1.5166),tensor(1.5186)
30,tensor(1.6611),tensor(1.6621),tensor(1.6602),tensor(1.6602),tensor(1.6611),tensor(1.6641)
31,tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.)
