Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,tensor(1.2344),tensor(1.2256),tensor(1.2305),tensor(1.2324)
1,tensor(1.2334),tensor(1.2246),tensor(1.2295),tensor(1.2324)
2,tensor(1.2324),tensor(1.2246),tensor(1.2295),tensor(1.2314)
3,tensor(1.2637),tensor(1.2539),tensor(1.2598),tensor(1.2637)
4,tensor(1.3652),tensor(1.3574),tensor(1.3633),tensor(1.3682)
5,tensor(1.3271),tensor(1.3174),tensor(1.3242),tensor(1.3291)
6,tensor(1.3906),tensor(1.3838),tensor(1.3887),tensor(1.3916)
7,tensor(1.5762),tensor(1.5703),tensor(1.5713),tensor(1.5684)
8,tensor(1.5166),tensor(1.5098),tensor(1.5137),tensor(1.5166)
9,tensor(1.6729),tensor(1.6660),tensor(1.6699),tensor(1.6709)
10,tensor(1.6699),tensor(1.6572),tensor(1.6602),tensor(1.6582)
11,tensor(1.6064),tensor(1.5996),tensor(1.5977),tensor(1.5977)
12,tensor(1.5566),tensor(1.5508),tensor(1.5547),tensor(1.5576)
13,tensor(1.8232),tensor(1.8105),tensor(1.8145),tensor(1.8154)
14,tensor(1.7881),tensor(1.7588),tensor(1.7539),tensor(1.7490)
15,tensor(1.7100),tensor(1.6914),tensor(1.6924),tensor(1.6973)
16,tensor(1.5254),tensor(1.5078),tensor(1.5156),tensor(1.5273)
17,tensor(1.4932),tensor(1.4824),tensor(1.4863),tensor(1.4902)
18,tensor(1.4443),tensor(1.4326),tensor(1.4326),tensor(1.4326)
19,tensor(1.4053),tensor(1.3896),tensor(1.3926),tensor(1.3926)
20,tensor(1.3633),tensor(1.3535),tensor(1.3574),tensor(1.3604)
21,tensor(1.4229),tensor(1.4092),tensor(1.4131),tensor(1.4170)
22,tensor(1.4551),tensor(1.4395),tensor(1.4453),tensor(1.4502)
23,tensor(1.3320),tensor(1.3232),tensor(1.3281),tensor(1.3301)
24,tensor(1.2764),tensor(1.2637),tensor(1.2676),tensor(1.2695)
25,tensor(1.3477),tensor(1.3369),tensor(1.3418),tensor(1.3447)
26,tensor(1.4570),tensor(1.4443),tensor(1.4492),tensor(1.4551)
27,tensor(1.4277),tensor(1.4111),tensor(1.4141),tensor(1.4131)
28,tensor(1.5879),tensor(1.5742),tensor(1.5801),tensor(1.5850)
29,tensor(1.4990),tensor(1.4863),tensor(1.4883),tensor(1.4844)
30,tensor(1.6611),tensor(1.6484),tensor(1.6582),tensor(1.6621)
31,tensor(0.),tensor(0.),tensor(0.),tensor(0.)
