Layer,certain,not_enough_info
0,tensor(1.2246),tensor(1.2266)
1,tensor(1.2227),tensor(1.2236)
2,tensor(1.2227),tensor(1.2246)
3,tensor(1.2529),tensor(1.2539)
4,tensor(1.3574),tensor(1.3584)
5,tensor(1.3174),tensor(1.3184)
6,tensor(1.3760),tensor(1.3789)
7,tensor(1.5645),tensor(1.5645)
8,tensor(1.5078),tensor(1.5098)
9,tensor(1.6602),tensor(1.6621)
10,tensor(1.6602),tensor(1.6592)
11,tensor(1.6133),tensor(1.6182)
12,tensor(1.5674),tensor(1.5664)
13,tensor(1.8076),tensor(1.8047)
14,tensor(1.7695),tensor(1.7676)
15,tensor(1.6846),tensor(1.6885)
16,tensor(1.5039),tensor(1.5059)
17,tensor(1.4854),tensor(1.4844)
18,tensor(1.4248),tensor(1.4258)
19,tensor(1.3867),tensor(1.3789)
20,tensor(1.3545),tensor(1.3613)
21,tensor(1.4082),tensor(1.4102)
22,tensor(1.4424),tensor(1.4424)
23,tensor(1.3193),tensor(1.3184)
24,tensor(1.2656),tensor(1.2666)
25,tensor(1.3330),tensor(1.3359)
26,tensor(1.4375),tensor(1.4414)
27,tensor(1.4141),tensor(1.4160)
28,tensor(1.5732),tensor(1.5723)
29,tensor(1.4805),tensor(1.4766)
30,tensor(1.6523),tensor(1.6543)
31,tensor(0.),tensor(0.)
