Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,0.009752992723808914,0.009687943892045454,0.009740656072443182,0.009948036887428978
1,0.0029887631942665644,0.002922173702355587,0.0028288292162346115,0.0026973377574573865
2,0.0024793864599342553,0.002454064109108665,0.002422448360558712,0.0023632049560546875
3,0.000470355560219353,0.00046378915960138494,0.00046617334539240056,0.00046469948508522725
4,0.00021748334332242038,0.00021051638054125237,0.000213623046875,0.00021708011627197266
5,0.00011009889873650556,0.00011163769346294981,0.00011595270850441672,0.0001242052425037731
6,9.668850507892547e-05,9.612964861320727e-05,9.616938504305753e-05,9.71664081920277e-05
7,0.0001668812798672035,0.00016236305236816406,0.0001621788198297674,0.00016105175018310547
8,8.26491684210105e-05,8.125016183564158e-05,8.248379736235647e-05,8.262829347090288e-05
9,2.4180268980766255e-05,2.3887012944077e-05,2.4194067174738105e-05,2.449209039861506e-05
10,0.00012563812276704714,0.00012050252972227155,0.00012078610333529386,0.00012467124245383522
11,5.7790774465258655e-05,5.924882310809511e-05,6.399010166977391e-05,7.085908542979847e-05
12,5.017082547880913e-05,5.321069197221236e-05,6.0477040030739524e-05,7.14442946694114e-05
13,7.534645945648026e-05,7.965889844027433e-05,8.559226989746094e-05,9.412657130848278e-05
14,7.27144095415626e-06,7.204937212394945e-06,7.479479818633108e-06,7.7377666126598e-06
15,9.05958029741798e-06,9.404890465013908e-06,9.934107462565104e-06,1.0652975602583451e-05
16,7.93067483954091e-06,8.43315413503936e-06,9.341673417524857e-06,1.0186975652521307e-05
17,1.1584146426675097e-05,1.1859518108945904e-05,1.3568184592507102e-05,1.522085883400657e-05
18,1.2060657876436827e-05,1.2614510276100852e-05,1.3651269854921283e-05,1.4641068198464133e-05
19,1.4546138992726477e-05,1.4742215474446615e-05,1.52046030217951e-05,1.5681440179998223e-05
20,1.4445495084335244e-05,1.4536308519767992e-05,1.4603137969970703e-05,1.431053335016424e-05
21,1.6497783973568777e-05,1.73648198445638e-05,1.820289727413293e-05,1.8618323586203836e-05
22,1.0017163115120976e-05,7.470448811848958e-06,7.806402264219342e-06,7.867813110351562e-06
23,2.289404634569512e-06,1.6562866442131274e-06,1.4828913139574456e-06,1.2950463728471235e-06
