Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,0.009752992723808914,0.009772852847450659,0.009708539177389706,0.009863617599651377,0.009844970703125,0.009767747083247102
1,0.0029887631942665644,0.0029528305115487413,0.0029396954704733456,0.0029649324314568633,0.0030173636771537162,0.0030772733372568294
2,0.0024793864599342553,0.0024969433000695852,0.0024872387156767003,0.0025228582402711274,0.002610417958852407,0.002607225582299643
3,0.000470355560219353,0.00046762763729944886,0.0004649484858793371,0.00046513157506142895,0.00047359466552734377,0.00047589611533461817
4,0.00021748334332242038,0.0002134743972345885,0.000216216900769402,0.0002196911842592301,0.00022591191369134028,0.0002286931536845024
5,0.00011009889873650556,0.00011217714803904174,0.0001104414463043213,0.00010809526648572696,0.00010507525624455633,0.00010255867282286385
6,9.668850507892547e-05,9.727598684519408e-05,9.398390265072093e-05,9.179211431933987e-05,9.252573992754962e-05,9.037643078936646e-05
7,0.0001668812798672035,0.00016381721264920255,0.00016198298510383156,0.0001598353027015604,0.0001585084038811761,0.00015731757839783928
8,8.26491684210105e-05,8.184417539279954e-05,7.748253205243279e-05,7.413728262788506e-05,7.391942513955605e-05,7.34277908375721e-05
9,2.4180268980766255e-05,2.421082755332051e-05,2.2839798646814683e-05,2.2056923117688908e-05,2.24545195296004e-05,2.2902788705383706e-05
10,0.00012563812276704714,0.0001254460589605787,0.00011342483408310834,0.00011065185710948001,0.00011252487027967299,0.00011829193064708584
11,5.7790774465258655e-05,6.065412088926987e-05,6.060109418981216e-05,6.649987671964912e-05,6.705941380681218e-05,6.435880597853502e-05
12,5.017082547880913e-05,5.352304049349024e-05,5.705356597900391e-05,5.781041678561959e-05,5.336355518650364e-05,5.133775685796675e-05
13,7.534645945648026e-05,7.954300173863709e-05,8.360147476196289e-05,8.123151717647429e-05,7.806210904508024e-05,8.049429647180418e-05
14,7.27144095415626e-06,7.353813542045563e-06,7.718450882855584e-06,7.728415150796213e-06,7.386465330381652e-06,7.626236669275145e-06
15,9.05958029741798e-06,9.376510434787766e-06,9.636668597950655e-06,9.233913113993982e-06,8.805055876035948e-06,8.98451205120971e-06
16,7.93067483954091e-06,8.39846336889846e-06,8.974706425386316e-06,8.626330283380323e-06,8.408121160558752e-06,8.140178705682818e-06
17,1.1584146426675097e-05,1.253821106574796e-05,1.2987501481000116e-05,1.2350338761524488e-05,1.180043091645112e-05,1.1618563670985746e-05
18,1.2060657876436827e-05,1.2944584433366412e-05,1.329954932717716e-05,1.3276774396178543e-05,1.3326632009970175e-05,1.3721699746239264e-05
19,1.4546138992726477e-05,1.544025745469066e-05,1.6222631230073818e-05,1.7213244591989826e-05,1.8198425705368456e-05,1.917493264406722e-05
20,1.4445495084335244e-05,1.4975003385350771e-05,1.571353744058048e-05,1.6609186767249977e-05,1.7063037769214526e-05,1.693482430565436e-05
21,1.6497783973568777e-05,1.8288249428938273e-05,1.9099782494937672e-05,1.9199104719264534e-05,1.9331558330638987e-05,1.9715716507261163e-05
22,1.0017163115120976e-05,1.0420918947289347e-05,1.0216236114501953e-05,1.0964370542956936e-05,1.0965643702326594e-05,1.0048711536735889e-05
23,2.289404634569512e-06,2.1554197859667575e-06,2.005170373355641e-06,2.2999061051235404e-06,2.582975336023279e-06,2.4564218836904362e-06
