Layer,certain,not_enough_info
0,0.009748615202356557,0.009734586644091298
1,0.002988408823482326,0.0029896029840150383
2,0.002458916335809426,0.0024785897837563994
3,0.00046754013645192963,0.00046426769816427913
4,0.00021459105236282765,0.00021247530146263564
5,0.00010880290484819255,0.00010817856511972056
6,9.358287509021863e-05,9.482427668652844e-05
7,0.0001699820242292894,0.00016768515720302335
8,8.828392445715398e-05,8.771281193547688e-05
9,2.3591713827164446e-05,2.3270019492191667e-05
10,0.00011637269473466716,0.00011467872626138629
11,5.8282594211765976e-05,5.877262089439627e-05
12,7.207113536980634e-05,7.311394597076312e-05
13,8.881026929844923e-05,8.833367669948538e-05
14,8.947210885136505e-06,9.527995724726862e-06
15,1.4267983983774654e-05,1.5633098094536584e-05
16,1.0898204449096013e-05,1.2934004487438006e-05
17,1.3069702627880326e-05,1.4396047429420028e-05
18,1.3431238997829417e-05,1.4281313573947945e-05
19,1.781364607680691e-05,2.0165695672149137e-05
20,1.72765528569456e-05,1.8104554850086823e-05
21,2.0221934292485806e-05,2.3243777174184753e-05
22,1.2677875372881446e-05,1.4699970089127993e-05
23,2.716408401239114e-06,4.365989372591924e-06
