Layer,certain,fully_manipulated,partially_manipulated
0,0.009752992723808914,0.009881253727895771,0.009802916809752748
1,0.0029887631942665644,0.00289439583966832,0.0030146588335980425
2,0.0024793864599342553,0.0024681376839826206,0.0025656815413590316
3,0.000470355560219353,0.00046577282294541774,0.0004696552570049579
4,0.00021748334332242038,0.00021411558825098825,0.00022134676084413634
5,0.00011009889873650556,0.00011636468464742877,0.00010520920648679629
6,9.668850507892547e-05,9.804393003086844e-05,9.211360753237546e-05
7,0.0001668812798672035,0.00016365008439846382,0.0001584524636740213
8,8.26491684210105e-05,8.319202297461962e-05,7.426882838154888e-05
9,2.4180268980766255e-05,2.465276661033402e-05,2.2524726259839404e-05
10,0.00012563812276704714,0.00013022722598321422,0.0001145911740732717
11,5.7790774465258655e-05,6.419491625117685e-05,6.351392347734054e-05
12,5.017082547880913e-05,5.850642027255304e-05,5.387676941169487e-05
13,7.534645945648026e-05,8.42852506808892e-05,8.074143430688878e-05
14,7.27144095415626e-06,7.473423095520385e-06,7.5730648669567735e-06
15,9.05958029741798e-06,9.717698582632099e-06,9.166080873091142e-06
16,7.93067483954091e-06,8.735471142980153e-06,8.474994491744828e-06
17,1.1584146426675097e-05,1.3469578977116568e-05,1.2092668931562822e-05
18,1.2060657876436827e-05,1.3570228736557646e-05,1.3348165449205336e-05
19,1.4546138992726477e-05,1.5747761298082544e-05,1.7904252796382694e-05
20,1.4445495084335244e-05,1.5032505560777859e-05,1.6641878819727635e-05
21,1.6497783973568777e-05,1.8997463637483333e-05,1.935631364256471e-05
22,1.0017163115120976e-05,1.134594043571792e-05,1.0147265025547572e-05
23,2.289404634569512e-06,2.235352636097434e-06,2.2937308300982465e-06
