Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,7.317952119587549e-05,7.486704624060428e-05,7.251175967129794e-05,7.194822484796697e-05
1,3.894267837857939e-05,3.917289502692945e-05,3.8645484230735086e-05,3.827701915394176e-05
2,1.6892542604540214e-05,1.7279928380792793e-05,1.614563392870354e-05,1.641837033358487e-05
3,9.294741792105586e-06,9.090611428925485e-06,8.109844092166785e-06,8.035789836536754e-06
4,4.484353821134306e-06,4.042278636585582e-06,4.114526690858783e-06,3.906813534823331e-06
5,4.553729719151565e-06,3.991704998594342e-06,4.253604195334694e-06,4.286115819757635e-06
6,7.885401366186924e-07,7.278991468024977e-07,8.796200607762192e-07,1.0186975652521306e-06
7,1.2839426759813652e-06,1.1126200358072917e-06,1.4485734881776753e-06,1.5876509926535867e-06
8,1.7588255835361168e-08,1.2643409497810133e-08,2.1674416281960228e-08,4.3348832563920456e-08
9,6.47834089935803e-07,5.508914138331558e-07,6.466200857451467e-07,6.989999250932173e-07
10,8.601959937257193e-07,7.838913888642283e-07,7.586045698686079e-07,7.477673617276278e-07
11,5.372886449261441e-06,4.649162292480469e-06,4.609425862630208e-06,4.75753437389027e-06
12,8.947210885136506e-07,8.380774295691288e-07,8.868448662035393e-07,9.157440879128196e-07
13,4.184702055050376e-06,4.024216623017282e-06,4.517309593431877e-06,4.968859932639382e-06
14,6.394308121477971e-06,6.399371407248757e-06,7.862394506281072e-06,8.49095257845792e-06
15,5.860146277589225e-06,5.933371457186612e-06,7.987022399902344e-06,9.655952453613281e-06
16,8.53746966586087e-06,9.031006784150094e-06,1.0811921321984494e-05,1.2283975427800959e-05
17,2.4499788961775316e-05,2.3189819220340613e-05,2.39953850254868e-05,2.5169415907426313e-05
18,3.4577208138554473e-06,4.036860032515093e-06,5.196441303599965e-06,9.352510625665838e-06
19,5.563100179036459e-07,4.6058134599165484e-07,6.321704748905066e-07,1.0999766263094815e-06
20,7.921229294740437e-07,1.0078603571111506e-06,2.292069521817294e-06,8.967789736661045e-06
21,3.3460028184567643e-06,2.5467439131303267e-06,4.3041778333259355e-06,7.716092196377842e-06
22,5.132187911070109e-06,3.722580996426669e-06,5.548650568181818e-06,1.61311843178489e-05
23,5.373863574585628e-06,3.4877748200387666e-06,5.604642810243549e-06,1.5854835510253906e-05
24,2.7076794150097123e-05,1.9252300262451172e-05,2.5476470138087418e-05,3.971836783669212e-05
25,1.657855966703488e-07,4.3348832563920456e-08,4.696123527758049e-08,1.0295347733931108e-07
26,2.5587655156036545e-06,1.3907750447591145e-06,1.6887982686360676e-06,2.947720614346591e-06
27,0.0,0.0,0.0,0.0
