Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,7.317952119587549e-05,7.403862138508785e-05,7.506118101232192e-05,7.707649661648659e-05,7.714451970280827e-05,7.48472497952695e-05
1,3.894267837857939e-05,4.0899162833024614e-05,4.0059229906867534e-05,3.962074556658345e-05,3.7969125283730996e-05,3.6634356770294394e-05
2,1.6892542604540214e-05,1.764900771229856e-05,1.821588067447438e-05,1.904817037684943e-05,1.7440319061279298e-05,1.8711121666510374e-05
3,9.294741792105586e-06,9.626512102752562e-06,1.0538802427404067e-05,1.1396984900197676e-05,9.967185355521536e-06,1.1317382585133938e-05
4,4.484353821134306e-06,4.331833920498126e-06,4.4009264777688415e-06,4.516173434513871e-06,4.608244509310336e-06,4.410743713378906e-06
5,4.553729719151565e-06,4.455628182723937e-06,4.492787753834444e-06,4.622564520887149e-06,4.4436068148226355e-06,3.966274640418046e-06
6,7.885401366186924e-07,8.877954984966078e-07,8.67773504818187e-07,8.405536733647828e-07,7.842038128827069e-07,7.113084098361186e-07
7,1.2839426759813652e-06,1.3957622080196736e-06,1.4438348657944623e-06,1.3330931304603495e-06,1.3825055715200063e-06,1.2536712040174875e-06
8,1.7588255835361168e-08,2.268354902383287e-08,1.5076468972598805e-08,8.652287144814769e-09,7.732494457347973e-09,5.526258455996482e-09
9,6.47834089935803e-07,6.62890523068818e-07,6.826484904569738e-07,6.857738699964298e-07,7.258879171835409e-07,6.489406358327297e-07
10,8.601959937257193e-07,8.219166805869654e-07,7.618876064524932e-07,7.332012217531922e-07,7.281432280669341e-07,7.492027535343802e-07
11,5.372886449261441e-06,5.009444618997304e-06,4.916681962854722e-06,4.981153754777805e-06,5.142431001405458e-06,4.908896439912304e-06
12,8.947210885136506e-07,9.020330452243326e-07,8.803956648882698e-07,7.976126927201465e-07,7.819485019993137e-07,7.93412821182352e-07
13,4.184702055050376e-06,4.365859244033875e-06,4.263134563670439e-06,4.076509065525506e-06,3.886222839355469e-06,3.4878585512274938e-06
14,6.394308121477971e-06,7.04107014273825e-06,6.805798586677103e-06,6.304953687934465e-06,5.993327578982792e-06,5.587047299012443e-06
15,5.860146277589225e-06,6.922102167538786e-06,6.84962553136489e-06,6.206894433626565e-06,5.6936934187605575e-06,4.771529444006105e-06
16,8.53746966586087e-06,1.0296159427658266e-05,1.0573162752039292e-05,1.0093053181966146e-05,9.845720755087363e-06,9.845818904851446e-06
17,2.4499788961775316e-05,2.604650582379175e-05,2.676248550415039e-05,2.617380952322355e-05,2.6344286428915488e-05,2.395633040674475e-05
18,3.4577208138554473e-06,4.944289744141613e-06,5.335667554069968e-06,6.680847496114752e-06,7.062667124980205e-06,5.59888928141815e-06
19,5.563100179036459e-07,7.524181474075627e-07,7.180606617647059e-07,9.636084238688152e-07,1.0052242794552364e-06,7.610447359400869e-07
20,7.921229294740437e-07,1.470087028225424e-06,1.4157856211942785e-06,3.269282720422232e-06,3.899432517386772e-06,4.436796074671461e-06
21,3.3460028184567643e-06,4.595349192136695e-06,3.693734898286707e-06,6.272587724911269e-06,8.077879209776182e-06,6.9792696971766994e-06
22,5.132187911070109e-06,6.747631891536326e-06,3.0170468723072725e-06,3.1728257415115194e-06,3.131338067956873e-06,3.846275885373551e-06
23,5.373863574585628e-06,6.937546286023097e-06,2.91747205397662e-06,2.8626252246159377e-06,2.472142915467958e-06,2.930101179918706e-06
24,2.7076794150097123e-05,3.1659236321082484e-05,1.6103071324965534e-05,1.389268905885758e-05,1.2285000569111591e-05,1.2234346756082496e-05
25,1.657855966703488e-07,2.2225051756329866e-07,3.856771132525276e-08,3.108414270544565e-08,2.9319041484111066e-08,6.118357576281819e-08
26,2.5587655156036545e-06,2.7560512063956936e-06,1.1777176576502182e-06,1.1985019970965643e-06,1.3596302754170186e-06,1.6472197526338084e-06
27,0.0,0.0,0.0,0.0,0.0,0.0
