Layer,certain,not_enough_info
0,8.462947574469561e-05,8.550784693643095e-05
1,4.912758134101909e-05,4.674651923846873e-05
2,1.8302208738900275e-05,1.7444021465835312e-05
3,1.1783154284367795e-05,1.1035810151604662e-05
4,4.016636499290258e-06,3.6039450062826633e-06
5,6.131787117713136e-06,5.6036503241737544e-06
6,1.5041215823647754e-06,1.3117090427021118e-06
7,1.8816176659422493e-06,1.545041901259699e-06
8,4.169068049863388e-08,2.1156597462937287e-08
9,6.39365670459518e-07,5.110132002586391e-07
10,1.2966453051957929e-06,1.0911921999153423e-06
11,5.175181425334326e-06,4.698595496167909e-06
12,7.461980392372673e-07,6.719253982700179e-07
13,3.2958437184818455e-06,3.160470174848016e-06
14,8.063238175188909e-06,7.916432598751966e-06
15,7.34439964502887e-06,7.82488962896041e-06
16,1.2473330471685023e-05,1.442879946972323e-05
17,2.5252501169840496e-05,3.344756344479505e-05
18,6.623932572661853e-06,2.8765852540833143e-05
19,7.260041158707415e-07,2.3878475098072873e-06
20,3.5362165482317817e-06,1.4429613185010265e-05
21,4.079498228479604e-06,1.3456206272893392e-05
22,4.971939357903486e-06,1.4635076294986868e-05
23,8.145968119303385e-06,2.0178918545563472e-05
24,3.1546165382927235e-05,7.166736361923478e-05
25,3.4590236476210296e-07,9.087165467975083e-07
26,4.981710611145353e-06,1.718261542987498e-05
27,0.0,0.0
