Layer,certain,fully_manipulated,partially_manipulated
0,7.317952119587549e-05,7.322841061803396e-05,7.518130344348949e-05
1,3.894267837857939e-05,4.13841830042308e-05,3.816223406529689e-05
2,1.6892542604540214e-05,1.798311393417998e-05,1.769530904162061e-05
3,9.294741792105586e-06,9.371848877318605e-06,1.0429044346232991e-05
4,4.484353821134306e-06,4.26012598825786e-06,4.449126484629872e-06
5,4.553729719151565e-06,4.534235971416542e-06,4.3982332879370385e-06
6,7.885401366186924e-07,9.807997834896612e-07,7.96540752872006e-07
7,1.2839426759813652e-06,1.5679233802292875e-06,1.3392050187666337e-06
8,1.7588255835361168e-08,3.462066193540653e-08,7.4014558896913635e-09
9,6.47834089935803e-07,7.259631585218235e-07,6.865014086712848e-07
10,8.601959937257193e-07,8.462431901943184e-07,7.641839457082225e-07
11,5.372886449261441e-06,5.133137731495018e-06,5.092594649765518e-06
12,8.947210885136506e-07,9.233366229576979e-07,8.306660494961582e-07
13,4.184702055050376e-06,4.6505899486427535e-06,3.943142000135485e-06
14,6.394308121477971e-06,7.812491434063027e-06,6.051705433772161e-06
15,5.860146277589225e-06,8.084816847018852e-06,5.670039208380731e-06
16,8.53746966586087e-06,1.1275985283765964e-05,9.999170408144102e-06
17,2.4499788961775316e-05,2.6527279151413968e-05,2.574678305741195e-05
18,3.4577208138554473e-06,6.284542426377713e-06,5.769271116990309e-06
19,5.563100179036459e-07,1.005069938248503e-06,7.681794218964629e-07
20,7.921229294740437e-07,2.7860710006987977e-06,2.9054971841665414e-06
21,3.3460028184567643e-06,6.331655079733112e-06,5.7124829554295804e-06
22,5.132187911070109e-06,1.0441877170951067e-05,3.2481256422105727e-06
23,5.373863574585628e-06,1.1204602475651724e-05,2.696749928233388e-06
24,2.7076794150097123e-05,4.382119207325096e-05,1.3919911541781582e-05
25,1.657855966703488e-07,3.5156032996263334e-07,3.7924273983462824e-08
26,2.5587655156036545e-06,4.027418033805436e-06,1.3585929032210466e-06
27,0.0,0.0,0.0
