Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,5.688400216441337e-05,5.851731155857895e-05,6.19852181636926e-05,6.751580671830611e-05
1,2.688462616967373e-05,2.654935374404445e-05,2.677151651093454e-05,2.7033415707674894e-05
2,8.260324353077372e-05,7.857879002888997e-05,7.734154209946141e-05,7.710673592307351e-05
3,0.0002170768591875587,0.00021459839560768822,0.0002077023188273112,0.00020236318761652166
4,6.515243665768149e-05,6.237174525405422e-05,5.923798589995413e-05,5.497715689919212e-05
5,1.3802546621020374e-05,1.3788541158040365e-05,1.3880657427238695e-05,1.3644045049493963e-05
6,9.317769378912254e-05,9.377797444661458e-05,9.335712953047319e-05,8.777596733786844e-05
7,0.00013812643582703638,0.00014075727173776338,0.00014377182180231267,0.00013922561298717153
8,9.672009879774083e-05,9.92363149469549e-05,0.0001026121052828702,0.0001039721749045632
9,0.00017022207135059794,0.0001729907411517519,0.00018020832177364466,0.00017917156219482422
10,0.00012763210984527087,0.00013231869899865353,0.00013722795428651753,0.00013616952029141513
11,6.496352576167205e-05,6.629300839973219e-05,6.902398485125917e-05,6.827441128817472e-05
12,4.17776446524865e-05,4.0952003363407016e-05,4.1567918026086055e-05,4.1235576976429335e-05
13,4.208771908869509e-05,4.158598003965436e-05,4.1461352146033086e-05,4.0439042178067296e-05
14,5.9240177029468974e-05,5.96931486418753e-05,5.975094708529386e-05,5.7908621701327235e-05
15,0.0001693273502620843,0.00015030846451268053,0.00015710881262114555,0.00016755407506769353
16,0.0001539574946210684,0.00015048366604429302,0.0001605965874411843,0.0001746524464000355
17,0.0002663760888771933,0.0002664688861731327,0.00027532288522431344,0.0002707893198186701
18,0.00020583535804123175,0.00023238586656975025,0.0002513545932191791,0.00026265057650479406
19,0.0001665269090829651,0.00017825401190555456,0.00020042513356064305,0.0002241459759798917
20,2.2648787889324252e-05,1.831488175825639e-05,1.920353282581676e-05,2.0720741965553977e-05
21,2.203678172794196e-05,1.824263370398319e-05,1.9483494036125414e-05,2.180988138372248e-05
22,4.716746794070051e-05,3.8547949357466265e-05,4.329825892592921e-05,5.2907250144264914e-05
23,5.469296147914532e-06,5.433053681344697e-06,7.72692940451882e-06,1.053376631303267e-05
24,1.3683337331469592e-05,1.345258770566998e-05,1.7428036892052852e-05,2.2216276689009234e-05
25,2.583910207279393e-05,2.4188648570667613e-05,2.970659371578332e-05,3.73829494823109e-05
26,1.933731016565542e-06,1.817038564970999e-06,2.5250694968483667e-06,3.6738135597922583e-06
27,2.572119561700873e-06,2.093387372565992e-06,2.6244105714740176e-06,3.608790310946378e-06
28,4.625059867817196e-08,3.79302284934304e-08,4.515503392075047e-08,6.502324884588068e-08
29,2.150001421652205e-06,2.0608757481430517e-06,2.4257284222227153e-06,3.039836883544922e-06
30,4.069075558354946e-06,4.482991767652107e-06,5.545038165468158e-06,7.418068972500888e-06
31,0.0,0.0,0.0,0.0
max_delta_to_certain,0.0,2.6550508528518497e-05,4.551923517794734e-05,5.7619066896926575e-05
