Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,5.688400216441337e-05,5.9518495551970324e-05,5.694803069619571e-05,5.3978094490625526e-05,5.051928597527581e-05,4.915804262982299e-05
1,2.688462616967373e-05,2.661021614846913e-05,2.788550713483025e-05,2.868169097490208e-05,2.9250737783071157e-05,2.9363379573190448e-05
2,8.260324353077372e-05,8.017693453954781e-05,8.138032520518583e-05,8.468794566328807e-05,8.725088995856208e-05,8.889263039393141e-05
3,0.0002170768591875587,0.000214898151907361,0.00020459890365600585,0.00020419846298874066,0.00020800087902996992,0.00021311068376957975
4,6.515243665768149e-05,6.308753480795424e-05,5.667910856359145e-05,5.450556355137979e-05,5.6251964053592165e-05,5.9455041064331866e-05
5,1.3802546621020374e-05,1.3790873863436433e-05,1.2668441323673023e-05,1.1843378825854229e-05,1.1627738540237015e-05,1.2076058924592884e-05
6,9.317769378912254e-05,9.189564206822198e-05,8.1557736677282e-05,7.279233265948552e-05,6.967170818431957e-05,7.353950020493261e-05
7,0.00013812643582703638,0.00014096498489379883,0.00012428059297449448,0.00011394837851165443,0.00011364962603594805,0.00011561169529592754
8,9.672009879774083e-05,9.651994898251677e-05,8.650948019588695e-05,7.680282797864688e-05,7.137317915220518e-05,7.199412150098788e-05
9,0.00017022207135059794,0.0001737270278004017,0.00016395484699922448,0.00015156083209540256,0.0001411505647607752,0.00013987039098676467
10,0.00012763210984527087,0.0001291273093899252,0.00011663366766536937,0.00010444944904696556,9.965381106814822e-05,0.00010249472611787303
11,6.496352576167205e-05,6.441428111149714e-05,5.758544977973489e-05,5.149873354101694e-05,4.9502462954134556e-05,4.894488694652027e-05
12,4.17776446524865e-05,4.083376664381761e-05,3.730689778047449e-05,3.509079256365376e-05,3.4790747874491927e-05,3.5591472853098486e-05
13,4.208771908869509e-05,4.1773927356550087e-05,3.806457800023696e-05,3.5858602933986214e-05,3.5858154296875e-05,3.728171847513969e-05
14,5.9240177029468974e-05,6.0499921018778074e-05,5.823549102334415e-05,5.5523008428594116e-05,5.548709147685283e-05,5.91132025055538e-05
15,0.0001693273502620843,0.00018050554792890664,0.00015064723351422478,0.0001470440177507298,0.00015020950420482738,0.0001572066584959725
16,0.0001539574946210684,0.00016346344581017128,0.0001524213482351864,0.00015042834384467013,0.00015171959593489364,0.0001561499589326366
17,0.0002663760888771933,0.0003083949146965737,0.0002597647554734174,0.00025953720974665814,0.0002662020760613519,0.00027432504868665276
18,0.00020583535804123175,0.00026088011892218336,0.00023931335000430836,0.0002469779342733404,0.0002554281337841137,0.0002662835531676842
19,0.0001665269090829651,0.00022386732371712504,0.00017183282796074363,0.00017669508534093057,0.0001874404984551507,0.00020312315580860667
20,2.2648787889324252e-05,2.8350092621467375e-05,1.1012484045589671e-05,9.170463008265341e-06,9.19909090609164e-06,1.0308050951420866e-05
21,2.203678172794196e-05,2.7456988207241785e-05,1.1454960879157572e-05,9.49957037484774e-06,9.192324973441458e-06,9.574242775013905e-06
22,4.716746794070051e-05,6.488291358175547e-05,2.5767789167516372e-05,2.1811774981919155e-05,1.9666310903188344e-05,1.9153222342990093e-05
23,5.469296147914532e-06,1.3894397720151585e-05,2.8760994181913486e-06,2.36495848624937e-06,1.9563210977090373e-06,2.0833994379106737e-06
24,1.3683337331469592e-05,2.936723261227009e-05,7.772095063153436e-06,6.429610713835686e-06,5.71785746393977e-06,6.088752620267552e-06
25,2.583910207279393e-05,4.94132157762041e-05,1.4871709487017463e-05,1.2099101979245422e-05,1.0639267998772699e-05,1.1131463461364342e-05
26,1.933731016565542e-06,4.950563917275865e-06,1.0921674616196577e-06,8.863787497243574e-07,8.138450416358742e-07,9.493322561908242e-07
27,2.572119561700873e-06,4.923054081225684e-06,1.4841556549072265e-06,1.2757316712410219e-06,1.239776611328125e-06,1.3918276654173997e-06
28,4.625059867817196e-08,1.3175763581928455e-07,1.753077787511489e-08,1.6984119210191954e-08,1.804248706714527e-08,1.9341904595987686e-08
29,2.150001421652205e-06,3.799011832789371e-06,1.5125555150649126e-06,1.3193135620445333e-06,1.177272281131229e-06,1.1557774827969785e-06
30,4.069075558354946e-06,8.760676210225836e-06,3.4055289100198183e-06,3.152316616427514e-06,3.1091071463919974e-06,3.44009588885781e-06
31,0.0,0.0,0.0,0.0,0.0,0.0
