Layer,certain,not_enough_info
0,6.485539055912873e-05,6.560660873256852e-05
1,2.091536756421699e-05,2.0965984656949093e-05
2,7.415208660188268e-05,7.319979293354542e-05
3,0.0001755646669148096,0.0001770286429864148
4,5.792887484441038e-05,5.706402222044232e-05
5,1.2558014666447873e-05,1.2431738726515004e-05
6,7.257272636955554e-05,7.032554711091234e-05
7,0.00011674823656759627,0.00011525504011342957
8,8.722667485638395e-05,8.162622158844724e-05
9,0.00014573368218427147,0.00015089922797557843
10,0.00010830066243156058,0.0001130289185169207
11,4.832731570051016e-05,4.8998272866519237e-05
12,3.3264928828171696e-05,3.3040095514811753e-05
13,2.8609903783746105e-05,3.1902318114713595e-05
14,4.9399873598025793e-05,5.612275706216337e-05
15,0.00010563897304847592,0.00014592600357003587
16,0.00011017576592867492,0.00013539856204400696
17,0.00026584909261901524,0.00047272097942365317
18,0.00023089308556311768,0.0004475084181124847
19,0.0001874276197673193,0.0004937504338729911
20,2.571663569882919e-05,7.916819113513308e-05
21,2.4685442773370796e-05,6.418260698025544e-05
22,3.9612009225647305e-05,0.00011255370878929164
23,5.0071158695742085e-06,2.930860063728619e-05
24,1.4379050562290546e-05,6.714941291678887e-05
25,2.7131187459810185e-05,0.00011618572697297706
26,2.8808911641438803e-06,1.56335049521801e-05
27,3.0626364744426125e-06,1.120913150774334e-05
28,8.403277788005891e-08,3.78174179650004e-07
29,2.844737527148971e-06,1.0006867171147578e-05
30,4.486959488665471e-06,2.0816871330599735e-05
31,0.0,4.0685764351802475e-10
