Layer,certain,fully_manipulated,partially_manipulated
0,5.688400216441337e-05,6.314737354210037e-05,5.225657106755854e-05
1,2.688462616967373e-05,2.6378089082455206e-05,2.8682999558501193e-05
2,8.260324353077372e-05,7.927310680914781e-05,8.566150298485389e-05
3,0.0002170768591875587,0.00021319332237015228,0.00021072298615843385
4,6.515243665768149e-05,6.313381080855866e-05,5.802178120875097e-05
5,1.3802546621020374e-05,1.4146644912080137e-05,1.2246462015005258e-05
6,9.317769378912254e-05,9.369350479034606e-05,7.669860190087622e-05
7,0.00013812643582703638,0.00014686049101595393,0.00012023730592413263
8,9.672009879774083e-05,0.00010044810300815605,7.831880024501255e-05
9,0.00017022207135059794,0.00017773498318152513,0.000150331756570837
10,0.00012763210984527087,0.00013349298945444072,0.00010798855142278986
11,6.496352576167205e-05,6.717443466186523e-05,5.282844815935407e-05
12,4.17776446524865e-05,4.2149763621256023e-05,3.616613346141773e-05
13,4.208771908869509e-05,4.3018135481965755e-05,3.7377745240599244e-05
14,5.9240177029468974e-05,6.142704786654719e-05,5.779004358983302e-05
15,0.0001693273502620843,0.00019990434189756475,0.00015248459774059255
16,0.0001539574946210684,0.00017614564495886157,0.00015245590891156877
17,0.0002663760888771933,0.00033748221254634284,0.00026451178959437777
18,0.00020583535804123175,0.0002838701545121427,0.0002501555851527623
19,0.0001665269090829651,0.0002587316278925913,0.00018350894634540265
20,2.2648787889324252e-05,3.587450095993316e-05,1.0423542379022955e-05
21,2.203678172794196e-05,3.465456876926079e-05,1.0347169834178883e-05
22,4.716746794070051e-05,8.431701603050003e-05,2.190365896120176e-05
23,5.469296147914532e-06,1.956709844623497e-05,2.344100029913934e-06
24,1.3683337331469592e-05,3.9982581566907687e-05,6.633210968185257e-06
25,2.583910207279393e-05,6.610940316480077e-05,1.2545926230294364e-05
26,1.933731016565542e-06,6.961608361341282e-06,9.432598784729675e-07
27,2.572119561700873e-06,6.726045094564289e-06,1.3686798431061126e-06
28,4.625059867817196e-08,1.8809369938102312e-07,1.8470889919406766e-08
29,2.150001421652205e-06,4.948256258479135e-06,1.295385779915275e-06
30,4.069075558354946e-06,1.165824022121772e-05,3.257164588341346e-06
31,0.0,0.0,0.0
